Hiedi Haley, Charmeleon, deer
Guillermo Towne, Electrode, yak
Raelene Prohaska MD, Charmander, hippopotamus
Lupe Mitchell III, Tentacool, hippopotamus
Tennie Schamberger, Oddish, caribou
Jamal Gaylord, Machamp, locust
Jaime Wisozk, Moltres, manatee
Cole Yost, Doduo, goat
Mrs. Philip Kohler, Poliwhirl, chimpanzee
Sherwood Howell, Golduck, sardine
Tatum O'Keefe, Weezing, goat
Mr. Zackary Nitzsche, Hypno, hare
Wilber Schulist, Butterfree, otter
Rodger Green, Golduck, crocodile
Carla Bergnaum, Ninetales, gnat
Jc VonRueden, Exeggcute, tortoise
Dr. Talia Stracke, Nidorino, cod
Dr. Shayne Reilly, Raticate, lion
Michale Metz III, Magneton, frog
Xiomara Bergstrom, Clefable, ant
Donna Pagac, Arcanine, wolf
Mr. Alec Hettinger, Persian, impala
Laurinda Borer III, Horsea, bear
Reginald Haley, Grimer, elephant
Shirl Lowe PhD, Metapod, hedgehog
Mr. Darryl Kassulke, Machop, elephant
Shanelle Terry, Scyther, hedgehog
Oliva Braun, Machop, tiger
Mrs. Sheba Marvin, Hitmonchan, woodchuck
Dean Collier, Rattata, squirrel
Darnell Quigley, Metapod, impala
Miss Norine Boyer, Kakuna, monkey
Fredricka Murray, Fearow, snail
Fleta Huel, Golduck, fish
Cheyenne Jerde, Seel, hedgehog
Kourtney Mosciski MD, Machamp, zebra
Min Franecki, Rhydon, minnow
Morgan Barrows, Farfetch'd, alligator
Ethan Balistreri, Dratini, rabbit
Amado Lynch DVM, Gengar, beaver
Hanh Feest PhD, Pidgeotto, yak
Mrs. Forest Kozey, Mr. Mime, ant
Albertha Kuphal, Venusaur, fox
Miss Danette Nader, Machamp, jackal
Candie Schmitt, Geodude, armadillo
Gemma Kihn, Venomoth, platypus
Jessia Ondricka, Spearow, seal
Tashia Schmeler, Caterpie, hound
Sam Schaefer, Jynx, gerbil
Miss Reta Sanford, Abra, mouse
