Brittany Lindgren, Hitmonlee, fly
Linwood Dickinson II, Charmeleon, zebra
Jerome Schiller, Machop, mammoth
Long Jacobi IV, Tentacruel, sea lion
Chae Walter, Grimer, weasel
Dr. Desmond Erdman, Dodrio, walrus
Jame King, Dodrio, hamster
Dr. Kizzy Gleason, Paras, wildebeest
Miss Cory Christiansen, Rhyhorn, oyster
Sonny Swift, Kakuna, gnat
Lucas Schaden, Horsea, beaver
Lory Rutherford, Mankey, cockroach
Anderson Willms, Pinsir, dog
Earline Pacocha, Kadabra, sheep
Grisel Rau, Rhyhorn, hamster
Bruno King, Arbok, bear
Griselda Leuschke, Tauros, wallaby
Estela Gerhold, Scyther, wombat
Luvenia Wyman Jr., Cloyster, herring
Anthony Bergnaum, Venomoth, water buffalo
Lanette Rau, Koffing, armadillo
Dr. Bettyann Schuster, Poliwrath, dog
Jamal Hartmann, Dewgong, caribou
Shane DuBuque PhD, Golbat, serval
Mrs. Eloy Trantow, Pidgey, giraffe
Jess Dickens, Venonat, crow
Dong Corkery, Tauros, horse
Alva Witting, Weezing, crow
Phuong Mann, Magikarp, muskrat
Micah Beatty DDS, Machamp, armadillo
Fermin Toy, Articuno, crocodile
Jene Greenholt IV, Seel, raccoon
Winfred Boyer, Vileplume, squirrel
Krista Rice, Slowbro, rhinoceros
Raphael Hegmann, Gyarados, lion
Oliva Wiza, Gastly, hedgehog
Leilani Keeling, Snorlax, mole
Anthony Rolfson, Jynx, elephant
Ruth Strosin, Goldeen, beetle
Isreal Runolfsson, Wartortle, chinchilla
Ellena Kemmer, Venomoth, gorilla
Dr. Archie Thompson, Chansey, crocodile
Faustina Barrows, Clefable, gorilla
Dolores Blanda PhD, Gastly, raven
Gino Hudson II, Ponyta, cicada
Daren Cruickshank, Geodude, impala
Ms. Son McDermott, Mew, mouse
Wm Raynor, Magmar, sheep
Mr. Yuk Roberts, Krabby, rabbit
Vanda Cartwright, Cloyster, elephant
