Mirta Brown, Electrode, spider
Shakita Hintz, Nidoqueen, dolphin
Juliana Nikolaus, Mewtwo, coyote
Mrs. Waltraud Gerhold, Mankey, trout
Mr. Jerrold Will, Goldeen, raven
Robby Kuvalis, Venomoth, hippopotamus
Kip Feeney, Farfetch'd, mule
Jewell Cole, Golem, serval
Titus Kutch Sr., Dragonair, horse
Aimee Predovic, Dodrio, llama
Reggie Koepp, Zubat, mouse
Emerson Will, Weepinbell, kangaroo
Tracey Mraz, Jolteon, deer
Bambi Howell, Kabuto, ferret
Edward Konopelski, Pidgeotto, pig
Dannie Hansen, Machoke, hyena
Zack Thompson, Aerodactyl, mosquito
Tonia Kuvalis, Vulpix, scorpion
Rocco Kunde Sr., Charizard, worm
Lachelle Doyle DDS, Chansey, dolphin
Crysta Bailey, Raichu, herring
Bailey Runte, Pinsir, chimpanzee
Dr. Jaunita Deckow, Arcanine, salmon
Kristopher Hintz, Geodude, eagle
Rodrick Dibbert, Machop, wildebeest
Christian Streich PhD, Starmie, ant
Antonio Boehm, Nidoqueen, tortoise
Heriberto Morissette, Weepinbell, horse
Kim Berge, Ponyta, reindeer
Bertram Fisher, Farfetch'd, raccoon
Everett Boyle, Porygon, rabbit
Miss Guadalupe McCullough, Gastly, rat
Anibal Kuhn, Porygon, sea lion
Emmett Miller DVM, Eevee, walrus
Myron Waelchi, Lickitung, louse
Angelina Hintz DDS, Ponyta, camel
Miss Troy Herzog, Ivysaur, dinosaur
Dr. Keesha Ferry, Jolteon, herring
Mrs. Vicky Grady, Psyduck, whale
Nicolas Willms, Oddish, chimpanzee
Kris Hyatt, Snorlax, marten
Kori Gulgowski, Slowbro, water buffalo
Pamela Bahringer, Slowpoke, cricket
Han Lynch, Magmar, monkey
Margeret Cole I, Jolteon, wildebeest
Tammara Hackett, Pidgeot, panda
Rudy Waelchi, Mewtwo, clam
Ms. Adell Lowe, Grimer, snake
Nella Bartell, Kadabra, squirrel
Antony Goldner, Nidorina, manatee
