Ms. Fletcher Collier, Charizard, bat
Karima Beatty, Caterpie, elephant
Gil Tromp, Alakazam, manatee
Robena Weimann, Alakazam, reindeer
Leif Bruen, Gastly, chinchilla
Myrle Feest, Nidoran, gorilla
Lanny Skiles, Weepinbell, pug
Merrill Muller, Fearow, gnat
Mr. Armando Emard, Dodrio, porcupine
Billi Leannon DVM, Vaporeon, gnu
Mckinley Haley, Bellsprout, louse
Hershel Goodwin V, Slowbro, zebra
Dr. Rubin Stamm, Machop, eel
Racquel Towne, Tentacool, crab
Bradley Ullrich, Exeggcute, donkey
Erick Lemke, Chansey, woodchuck
Katie Prohaska, Ivysaur, fox
Dante Bradtke, Krabby, fish
Garfield Hoppe, Raticate, cheetah
Dr. Fredric Hilpert, Weedle, porcupine
Miss Leslie Schowalter, Golduck, hornet
Bob Hills II, Kingler, beetle
Delfina Gutkowski, Magnemite, deer
Maud Waelchi, Weedle, impala
Leo O'Connell, Kabutops, grasshopper
Leonarda Braun, Drowzee, fox
Marquitta Lindgren, Pidgey, rat
Daniele Rath, Jigglypuff, hare
Miss Shandra Russel, Rhydon, trout
Mr. Shad Ziemann, Golbat, swan
Reda Osinski, Golem, porpoise
Toya Botsford, Arcanine, dog
Johnnie Schneider, Hitmonlee, baboon
Giuseppe Wolff Sr., Poliwhirl, whale
Austin Denesik, Wartortle, gerbil
Glynis Krajcik, Onix, otter
Damon Ferry III, Graveler, louse
Shannon Treutel Jr., Weedle, hyena
Katina Gulgowski, Ivysaur, lizard
Lacy Labadie, Tentacool, jackal
Janene Jacobs, Horsea, lion
Josette Beier, Alakazam, hare
Ezekiel Larson V, Dragonite, trout
Nickie Hammes, Golbat, gnu
Kiesha Smith, Kakuna, dinosaur
Luana Kunde, Magnemite, crocodile
Mrs. Sharri Moore, Psyduck, hornet
Glenn Ziemann, Marowak, dog
Rosemary Bins, Eevee, leopard
Lidia Paucek, Graveler, monkey
