Otto Harvey, Pidgeot, mammoth
Edmundo Hilll Jr., Parasect, otter
Dr. Lyndsey Auer, Clefable, hamster
Ms. Roosevelt Hartmann, Growlithe, pig
Reggie Nicolas, Grimer, whale
Caridad Herzog II, Blastoise, seal
Rayford Murray, Rhyhorn, alligator
Micha Bauch, Venonat, gnat
Michel Berge, Charizard, jackal
Rowena Hoeger III, Snorlax, spider
Royal Quigley, Graveler, sea lion
Brenna Reilly, Poliwhirl, sheep
Miss Refugia Cole, Scyther, manatee
Arthur Cremin, Rhyhorn, wallaby
Mrs. Hilton Osinski, Tauros, gnu
Cherilyn Strosin I, Charmeleon, gerbil
Dr. Caroyln Shields, Magikarp, pig
Corrinne Dooley III, Bulbasaur, cheetah
Andrea O'Connell, Starmie, otter
Darell Quigley, Pikachu, bat
Rueben Cassin, Articuno, squirrel
Enid Keeling, Ekans, giraffe
Chester Hayes, Slowpoke, deer
Ilona Orn, Machamp, guinea pig
Mrs. Don Collier, Squirtle, cricket
Mrs. Beau Kunde, Sandshrew, louse
Luigi Abbott Jr., Rhyhorn, cod
Ivey Keebler PhD, Weepinbell, jackal
Morton Smitham, Weepinbell, snake
Princess Reichert, Poliwrath, sardine
Korey Turcotte, Seadra, goldfish
Rubin Jerde, Gloom, mosquito
Long Bradtke, Dugtrio, hornet
Alyse Wolf, Vaporeon, eel
Ms. Arlene Ziemann, Arbok, turtle 
Jacelyn Boyle, Hypno, minnow
Mr. Ami Goodwin, Goldeen, koala
Kim Wehner, Moltres, gorilla
Rafael Kub III, Kakuna, hedgehog
Hassan Wunsch, Poliwhirl, wildebeest
Mr. Lorean Batz, Zubat, woodchuck
Lenard Hilpert V, Magneton, serval
Gonzalo Gutmann, Gengar, grasshopper
Ms. Libbie Bradtke, Dewgong, prairie dog
Kayleen Larson, Kabutops, turtle 
Ismael Hartmann, Abra, tortoise
Ms. Loreen Kirlin, Articuno, duck
Keila Swift III, Gloom, kangaroo
Mrs. Manuel Ruecker, Scyther, chimpanzee
Jaymie Brown DVM, Hitmonchan, raven
