Marcus Turner III, Beedrill, snake
Mrs. Brian Runte, Gastly, swan
Jeffie Dibbert, Snorlax, baboon
Meredith Lynch Sr., Koffing, cockroach
Aracelis Nikolaus, Starmie, goldfish
Houston Leffler, Pidgeotto, elk
Blake Kirlin, Arbok, mallard
Patty Gerlach, Omanyte, leopard
Le Hamill, Flareon, butterfly
Quintin Kohler, Bellsprout, frog
Domenic Mraz PhD, Sandshrew, badger
Brian Sauer, Bellsprout, platypus
Dyan Daniel, Weezing, panda
Mrs. Dan Mann, Wigglytuff, louse
Agripina Armstrong V, Beedrill, cod
Luis Dicki, Venusaur, lizard
Dr. Kymberly Gorczany, Venusaur, wallaby
Alma Champlin Sr., Gyarados, deer
Dr. Lucie Kunde, Vulpix, hamster
Gertie Hettinger Jr., Wigglytuff, squirrel
Mr. Brady Tillman, Rapidash, pug
Beata Kovacek, Seadra, dog
Dr. Renaldo Mertz, Cubone, raccoon
Nadine Dietrich, Butterfree, fish
Clarinda Abbott, Nidoqueen, deer
Jonah Tromp, Dragonair, kangaroo
Mrs. Lindsay Rowe, Raticate, cod
Buddy Medhurst, Persian, cattle
Mrs. Janean Herzog, Vileplume, porcupine
Ms. Lenard Reynolds, Ninetales, prairie dog
Robert Frami DVM, Ponyta, whale
Ernesto Kirlin, Cloyster, hornet
Lonna Kuhn DVM, Arcanine, bat
Orpha Koepp, Caterpie, woodchuck
Vernie Wilkinson MD, Golem, baboon
Dr. Rolf Greenholt, Magmar, ape
Sharee Cole, Golduck, louse
Francisca Blick V, Muk, gnat
Ellie Wunsch, Wartortle, tortoise
Mrs. Santana Nader, Omastar, cheetah
Jessia Witting, Magnemite, snail
Jayne Hermiston, Muk, ox
Billy Hayes, Spearow, minnow
Zane Robel, Nidoqueen, ant
Jannie Wisozk, Mankey, chinchilla
Rick Bahringer, Electrode, elephant
Ike Braun, Fearow, crocodile
Mrs. Jaleesa Botsford, Paras, porpoise
Mrs. Dorothea Kling, Tangela, monkey
Donny Beier, Gloom, ant
