Thomasena Hegmann, Pinsir, caribou
Mrs. Santo Lowe, Clefable, hippopotamus
Donny Rutherford, Kangaskhan, duck
Alonzo Quitzon, Alakazam, jackal
Cedric Bogisich, Electrode, yak
Antwan Effertz, Weezing, spider
Pablo Quitzon IV, Mewtwo, llama
Wilson Oberbrunner, Raichu, wallaby
Nan Ruecker, Caterpie, koala
Stanford Shanahan MD, Zubat, hedgehog
Miss Rocky Cassin, Abra, tiger
Irma Wyman II, Dugtrio, beaver
Sylvester Torp, Ekans, whale
Frances Fay, Jolteon, spider
Sallie Kertzmann Sr., Mr. Mime, tortoise
Sebrina Pouros, Omastar, tortoise
Chara Kovacek, Kangaskhan, shark
Sterling Cummerata, Venomoth, cattle
Abdul Stroman, Voltorb, clam
Benedict Howe I, Marowak, frog
Miss Hosea Stroman, Kabutops, hippopotamus
Julian Hartmann, Bellsprout, horse
Jamal Kirlin, Machop, jellyfish
Michael Schuster, Jigglypuff, duck
Trish Mann, Oddish, giraffe
Kraig Heathcote, Nidorino, weasel
Danial Kuhn, Pikachu, sardine
Quinn Purdy, Kabuto, alligator
Miss Danilo Leuschke, Mr. Mime, raccoon
Ruben Jenkins, Nidoran, hippopotamus
Marnie Greenholt Sr., Goldeen, alligator
Elton Kreiger, Charizard, minnow
Angelo Gislason, Rapidash, wolf
Ms. Paulene Wehner, Dragonair, bat
Diego Bartoletti, Weepinbell, alpaca
Elma Beier Jr., Exeggcute, alligator
Miss Garrett Von, Parasect, gorilla
Rea Rolfson, Ponyta, jellyfish
Graciela Jenkins, Rapidash, rat
Fermin Lesch, Butterfree, mink
Mr. Broderick Wilkinson, Venomoth, frog
Almeta Dickens, Mankey, weasel
Parker Prosacco, Magneton, trout
Sung Lynch, Metapod, sea lion
Ike Brekke, Clefable, prairie dog
Tyrell Rath, Kadabra, water buffalo
Mr. Mozell Yundt, Omanyte, zebra
Mr. Shellie Torp, Machamp, deer
Elliott Reynolds V, Chansey, dolphin
Cory Medhurst, Nidorina, camel
