Broderick Prosacco, Diglett, goat
Enrique Christiansen, Eevee, leopard
Mr. Becki Kuvalis, Victreebel, sheep
Karan Wintheiser IV, Farfetch'd, ox
Ms. Magan Barrows, Voltorb, hedgehog
Mrs. Gerard Corkery, Pidgey, cockroach
Simon Connelly MD, Wartortle, cheetah
Nathan Nienow, Kabuto, raccoon
Dee West II, Omastar, manatee
Winston Donnelly IV, Ponyta, beaver
Miss Paris Sanford, Rhydon, cattle
Mrs. Rochell Quitzon, Mr. Mime, porpoise
Tad O'Hara, Poliwag, cicada
Willard Beatty, Lapras, serval
Agueda Weimann, Nidorino, mosquito
Ferdinand Baumbach MD, Drowzee, wombat
Jacob Jenkins Jr., Jigglypuff, goat
Eugene Abernathy, Bulbasaur, ferret
Dr. Nickole Towne, Vulpix, whale
Miss Boris Corkery, Magmar, alligator
Maya Wilderman, Kadabra, hare
Sammie Grimes, Pidgey, porpoise
Dierdre Ferry, Bulbasaur, crocodile
Kori Ankunding, Mankey, crab
Haywood Bode, Psyduck, pug
Mrs. Linette Greenholt, Vaporeon, seal
Albina Anderson, Raticate, skunk
Alessandra Gerhold, Gloom, fly
Miss Whitney Kozey, Pikachu, mouse
Ms. Fermin Wiza, Dewgong, dinosaur
Melva Beier, Squirtle, minnow
Cyrus Cruickshank, Machoke, mammoth
Darryl Heller DVM, Ditto, swan
Yanira Harris, Articuno, beaver
Dr. Donette Treutel, Seaking, frog
Jamison Littel MD, Onix, chinchilla
Ms. Cameron Feil, Gyarados, butterfly
Mr. Sung Konopelski, Cloyster, shark
Dotty Buckridge, Growlithe, rhinoceros
Jenette Toy, Ekans, gerbil
Christene Wisoky, Gloom, lion
Rosendo Toy, Ekans, wildebeest
Junita Hermann, Ninetales, crocodile
Whitney O'Kon, Charmeleon, tortoise
Jamar Olson, Electabuzz, hedgehog
Shannon Herzog, Scyther, caribou
Ms. Fletcher Gislason, Oddish, jellyfish
Benedict Connelly, Golbat, serval
Dr. Leandra Reilly, Rhydon, oyster
Mr. Daphine Skiles, Magmar, worm
