Cherryl Romaguera, Nidoran, rat
Reyes O'Conner DDS, Koffing, wildebeest
Enoch Orn, Tentacruel, goat
Latina Lehner, Koffing, cat
Miss Terry Metz, Ninetales, mole
Erick Huels, Arbok, hamster
Marcelino Volkman, Caterpie, fox
Xuan Smitham, Seadra, rhinoceros
Barrett Russel, Victreebel, cheetah
Miss Rafael Dach, Vileplume, hare
Casie Borer, Aerodactyl, platypus
Ellis Kohler, Flareon, clam
Joey Russel, Geodude, hare
Edwardo Sporer PhD, Golem, hamster
Huey Kuhn DVM, Poliwhirl, grasshopper
Rubin Klocko, Kangaskhan, elephant
Maryetta Klocko Sr., Venusaur, caribou
Rosendo Schamberger, Blastoise, ferret
Aide Gaylord, Farfetch'd, kangaroo
Mrs. Shamika Harvey, Shellder, monkey
Mr. Ty Goodwin, Mankey, alpaca
Clint Glover, Seaking, snail
Jaunita Rogahn, Oddish, mule
Kenyetta Cassin, Koffing, crow
Benny Renner, Slowpoke, deer
Chet Kuhlman Jr., Arbok, minnow
Shannon Hessel, Bulbasaur, tiger
Trinity Cruickshank, Goldeen, frog
Tamela Hoeger, Lapras, sheep
Mamie McLaughlin, Farfetch'd, manatee
Phillip Erdman, Cubone, fox
Hugo Barton, Grimer, cicada
Lazaro Wintheiser DVM, Kadabra, sheep
Perry Barton, Chansey, otter
Neal Jaskolski, Charmeleon, spider
Mr. Vernetta Haag, Ninetales, ferret
Melvin Powlowski, Vaporeon, badger
Evelin Jacobi PhD, Pikachu, coyote
Deena Glover, Aerodactyl, shark
Miss Wilfredo Denesik, Caterpie, louse
Patricia Zulauf, Vileplume, cat
Rafaela Sawayn DDS, Weedle, crocodile
Brian Dibbert, Jigglypuff, crow
Lynna Lind, Omanyte, panda
Velma Feeney, Blastoise, duck
Valencia Wuckert, Zapdos, donkey
Tressie Schimmel V, Kabutops, badger
Mr. Damaris Harris, Hypno, hyena
Miss Junior Jacobson, Haunter, coyote
Melani Tillman, Geodude, goose
