Temple Buckridge, Marowak, lizard
Nolan Glover, Metapod, walrus
Gale Harvey, Seadra, eagle
Lucila Emard, Lapras, chinchilla
Deloris Littel, Kangaskhan, termite
Ardis Crooks, Lapras, crab
Claudio Blick, Mew, llama
Merlin Klocko, Slowbro, woodchuck
Joaquina Hudson, Lickitung, kangaroo
Ashley Yundt, Magneton, weasel
Stevie Mueller, Magikarp, crow
Bonita Lubowitz, Golduck, impala
India Williamson, Oddish, kangaroo
Margaret Schmeler MD, Hitmonchan, salmon
Gilma Beer II, Jigglypuff, chimpanzee
Kevin Gerhold, Psyduck, spider
Felicitas Jacobs, Seaking, salmon
Harris McDermott, Omanyte, walrus
Hassan Sanford, Blastoise, rabbit
Libbie Hayes V, Oddish, hornet
Louann Emard, Seadra, lizard
Carrol Lang DDS, Metapod, mouse
Rory Kunde, Weedle, alpaca
Katrina Leuschke, Omastar, beetle
Shaun Dooley Sr., Pidgeot, muskrat
Roland Marvin, Nidoran, panda
Johnathon McCullough, Kadabra, cheetah
Ms. Ross Gleason, Ditto, antelope
Bethel Bergnaum DVM, Tauros, hippopotamus
Mrs. Anton Ward, Charmeleon, baboon
Ms. Son Effertz, Seaking, ferret
Ms. Shawnda Bahringer, Dragonite, weasel
Kraig Torp, Exeggcute, butterfly
Domingo Kihn, Magmar, camel
Norbert Howe, Articuno, hamster
Deandra Willms, Mr. Mime, llama
Miss Ngoc Gaylord, Ponyta, bat
Gerry Mosciski Sr., Marowak, otter
Melda Ratke PhD, Venonat, crow
Lawrence Rolfson, Electrode, eel
Trinity Keeling V, Jolteon, weasel
Ms. Henry Jaskolski, Fearow, dinosaur
Neville Wolff, Electabuzz, crow
Dr. Freddie Kovacek, Eevee, raccoon
Marcelene Blanda, Ivysaur, muskrat
Jules Mosciski V, Vileplume, duck
Bee Smith V, Fearow, mole
Dr. Roger Swaniawski, Ekans, wasp
Mariam Ritchie Sr., Dewgong, mole
Mr. Taina Gorczany, Ninetales, crow
