Claudette Hammes, Jynx, rhinoceros
Nick Bruen IV, Dragonite, porcupine
Detra Little, Eevee, mosquito
Kendall Muller, Snorlax, herring
Rob Mosciski MD, Magikarp, kangaroo
Meredith Adams III, Jigglypuff, hare
Mrs. Freddie Fadel, Bellsprout, cheetah
Ms. Corrine Ebert, Slowpoke, llama
Ms. Earle Shanahan, Rhydon, mammoth
Ivory Kuvalis, Vileplume, ape
Clint Durgan, Krabby, gnu
Miss Minerva Larkin, Dewgong, chimpanzee
Mr. Ashley Gorczany, Sandslash, monkey
Adrianne Adams III, Abra, salmon
Clark Abbott IV, Scyther, zebra
Teddy Smith, Ninetales, impala
Gaynell Williamson, Machoke, toad
Reba Mayer, Slowpoke, ape
Nicky Cronin, Shellder, snail
Lupe Fadel, Hitmonchan, shark
Dr. Mervin Abbott, Bellsprout, koala
Rossana Kris, Mankey, yak
Miss Sylvester Hegmann, Scyther, yellowjacket
Bronwyn Mayer, Primeape, worm
Mrs. Conchita Schaefer, Charmander, marten
Miss Nanette Schinner, Victreebel, chinchilla
Ignacio Spencer, Slowbro, snake
Mitch Medhurst, Magnemite, monkey
Mrs. Joanne Hudson, Kadabra, bee
Mr. Pablo Maggio, Eevee, guinea pig
Shanta Dach Sr., Articuno, wolf
Benny Kassulke, Aerodactyl, spider
Delois Gerlach, Staryu, guinea pig
Khadijah Kuhlman, Koffing, badger
Jeromy Emmerich, Hitmonlee, hound
Elroy Kassulke, Psyduck, spider
Temple Durgan, Ekans, crab
Dillon Daniel V, Bellsprout, horse
Blythe Wiegand, Lapras, dog
Rossie Marks DVM, Dodrio, alligator
Sharron Kiehn, Alakazam, guinea pig
Craig Okuneva I, Golbat, camel
Arnold Lockman, Dugtrio, hound
Mrs. Eugenio Stehr, Gastly, tiger
Miss Eun Willms, Golem, wallaby
Mrs. Morgan Kunde, Pidgey, lizard
Ms. Demarcus Hoppe, Tentacruel, dolphin
Terry Wintheiser, Clefairy, mallard
Mira Bogisich MD, Pidgey, koala
Arlene Lockman, Haunter, gerbil
