Ms. Eleanor Gutmann, Onix, armadillo
Hung Rutherford, Onix, clam
Mrs. Chris Runolfsson, Spearow, chinchilla
Rosanne Ferry, Raichu, locust
Josiah Grant, Wartortle, gorilla
Alfredo Kemmer, Cubone, wolf
Eda Cole MD, Pikachu, serval
Hortense Bednar, Dewgong, leopard
Chau Turcotte, Doduo, turtle 
Ms. Brendon Abbott, Onix, goldfish
Contessa Fahey DDS, Doduo, sheep
Dennise Schamberger, Pinsir, bear
Evita Feil, Arbok, fox
Cathrine Bayer, Arcanine, lizard
Damion Feest, Ponyta, pug
Jeff Koelpin, Pidgeotto, mule
Zelda Bailey, Sandslash, butterfly
Maryam Ratke PhD, Ponyta, wasp
James Hermann V, Wartortle, bat
Raymon Price, Gastly, worm
Jacinto Schuster, Haunter, wasp
Lorriane Harber II, Venusaur, panda
Jordan Hirthe, Clefairy, muskrat
Angella Wolff, Articuno, buffalo
Tracy Murray Sr., Omastar, hedgehog
Joaquin Jacobi, Goldeen, cat
Mr. Harold Morar, Venusaur, ox
Samuel Kuvalis, Bulbasaur, mule
Eula Nader, Charizard, elephant
Ms. Bambi Barrows, Seadra, horse
Walton Murphy, Marowak, tortoise
Patricia Willms, Rhydon, seal
Huey Hettinger, Arcanine, badger
Audry Jacobs, Spearow, hedgehog
Marva Schowalter, Kakuna, pug
Timothy Cummings, Horsea, cicada
Herlinda Donnelly, Seel, worm
Clarisa Tillman, Pidgey, camel
Dr. Julio Okuneva, Ivysaur, beaver
Hilda Hamill, Vulpix, cattle
Ozella Zboncak V, Cubone, sardine
Mr. Indira Maggio, Pidgey, spider
Kelli Nienow, Haunter, beaver
Awilda Daugherty, Dewgong, gerbil
Shenita Hamill, Jigglypuff, porpoise
Lenita Robel, Tentacool, manatee
Jann Runte, Doduo, camel
Von Hudson I, Venusaur, fox
Mr. Deneen Hodkiewicz, Golem, bear
Adolfo Koelpin, Pidgeot, wasp
