Nigel Weber, Cubone, impala
Frank Langosh, Grimer, gnat
Kamilah Murazik, Dugtrio, ferret
Micah O'Conner, Kabutops, kangaroo
Eulalia Franecki, Drowzee, panda
Shin Aufderhar, Scyther, cicada
Dorinda Price, Poliwrath, salmon
Dirk Turner, Wartortle, cattle
Kasey Harber, Weezing, chinchilla
Elliott Nienow, Gengar, cricket
Carter Zulauf, Magnemite, jellyfish
Lonny Klocko, Gastly, marten
Elliot Larkin, Raichu, butterfly
Tran O'Connell, Gastly, jackal
January Johnston, Golbat, hippopotamus
Vinnie Nader, Snorlax, snake
Elois Douglas, Dragonair, trout
Sheldon Herman, Dewgong, leopard
Billye Hahn Sr., Psyduck, eagle
Vern Greenfelder IV, Eevee, beaver
Venice Hoeger, Ninetales, gorilla
Takako Dare Jr., Venomoth, cat
Timmy Jacobs, Arcanine, raven
Alethea Lubowitz, Grimer, hornet
Rita Rolfson, Eevee, chimpanzee
Mr. Dan Blanda, Pinsir, otter
Floyd Kunde, Shellder, chinchilla
Dr. Elmer Bogisich, Alakazam, macaw
Samuel King, Ponyta, shark
Ms. Everette Schamberger, Nidorina, minnow
Miss Keith Rolfson, Omanyte, horse
Clayton McKenzie, Arcanine, sheep
Del Pfeffer, Drowzee, raccoon
Trang Rowe, Dragonair, porpoise
Mrs. Mackenzie Renner, Dragonite, hippopotamus
Wendell Cartwright, Horsea, elk
Hien Cummings, Mew, crow
Buena Kemmer, Golbat, prairie dog
Irwin Gusikowski, Butterfree, skunk
Arletha Ritchie, Ponyta, baboon
Donnell Stamm, Weedle, whale
Stanley Bode, Bellsprout, spider
Mercedes Hegmann, Nidoran, otter
Bert Romaguera, Rapidash, swan
Miss Chrystal Klein, Oddish, shark
Maudie Tillman II, Parasect, impala
Thu Haley III, Poliwhirl, termite
Georgeann Wisoky, Tentacruel, ant
Tiffanie Bergstrom, Nidoking, tortoise
Korey Satterfield, Krabby, alpaca
