Ms. Lance Bergstrom, Muk, cattle
Jerry Considine, Lapras, salmon
Daisey Stiedemann MD, Paras, macaw
Devona Hermiston, Snorlax, deer
Vicenta Stroman III, Bellsprout, pig
Santiago Kuphal, Rhyhorn, hippopotamus
Lavone Ernser, Voltorb, platypus
Ping Veum, Venusaur, sheep
Jim Dibbert, Graveler, spider
Issac Lehner, Exeggutor, mallard
Manual Bechtelar, Starmie, cicada
Romeo Schamberger II, Pikachu, armadillo
Mrs. Kendrick Rutherford, Blastoise, donkey
Darnell Morissette, Doduo, elephant
Domingo Steuber, Kadabra, gorilla
Mr. Ozell Roberts, Rapidash, giraffe
Mikel Simonis, Ponyta, duck
Jordan Marks, Rapidash, goldfish
Van Watsica, Staryu, sea lion
Delphine Bartoletti, Hitmonlee, herring
Dr. Melda Gusikowski, Dodrio, panda
Marcelino Labadie Sr., Onix, elk
Ardelle O'Conner I, Omastar, duck
Lenard Graham Sr., Pidgeotto, wolf
Rafael Cummerata II, Nidoran, hippopotamus
Dalton Mosciski, Ditto, elephant
Altha Ullrich, Wartortle, trout
Yong D'Amore, Staryu, woodchuck
Paige Hauck Jr., Charmander, walrus
Caleb Orn, Arcanine, wallaby
Rudolph Osinski, Horsea, grasshopper
Belen Keeling, Nidorino, cheetah
Darwin Gusikowski MD, Rapidash, hyena
Clifton Terry, Zapdos, sheep
Miss Lisha MacGyver, Cloyster, buffalo
Reatha Little DVM, Dugtrio, deer
Arlie Connelly, Chansey, porpoise
Homer Leannon, Scyther, sheep
Ora Langworth Sr., Lickitung, dolphin
Mirta Walker, Venonat, ant
Samual Upton, Magmar, sheep
Yukiko Doyle, Pidgey, minnow
Roscoe Schuppe, Metapod, salmon
Samuel Nikolaus, Charizard, dolphin
Miss Selina Mohr, Raichu, giraffe
Mr. Thurman Smitham, Lapras, antelope
Zada Welch, Gloom, chimpanzee
Wilton Hirthe, Kabutops, ox
Mr. Fabian Ankunding, Ditto, pig
Milford Cronin, Koffing, skunk
