Dr. Kraig Mante, Pidgey, beetle
Miss Jacki Kihn, Grimer, cicada
Tressie Corwin, Charizard, caribou
Elda Grant, Pikachu, rabbit
Ward O'Connell DVM, Zubat, herring
Ashlee King PhD, Ponyta, wasp
Hector Labadie, Golbat, porcupine
Zetta Wiegand, Seel, deer
Bennie Murazik, Clefable, grasshopper
Lashanda Ferry, Nidorino, cricket
Erlene Lakin, Pinsir, antelope
Antonia West, Hitmonchan, whale
Lilliana Conroy, Pinsir, bat
Dr. Efren Huels, Shellder, elk
Dr. Riley Champlin, Pidgey, badger
Roman Jacobs, Nidoran, weasel
Charlsie Prosacco, Beedrill, raccoon
Preston Funk, Haunter, baboon
Tuan Koss, Goldeen, mule
Kira Heller, Farfetch'd, gorilla
Marshall O'Reilly, Ninetales, wolf
Dr. Tristan Mann, Aerodactyl, ferret
Thaddeus Padberg, Gloom, tiger
Miss Jonathon Ryan, Charmeleon, monkey
Burt Ritchie, Bellsprout, deer
Nolan Rutherford Jr., Paras, worm
Leoma Bode, Cubone, monkey
Shalonda Zemlak, Mew, beaver
Mrs. Jed Kuvalis, Wartortle, rhinoceros
Christina Schamberger, Marowak, squirrel
Derek Weber, Oddish, wombat
Marlin Gutkowski, Wigglytuff, deer
Ms. Buster Legros, Nidoking, elephant
Tasha Zemlak, Golem, weasel
Bennie Wyman DVM, Bellsprout, louse
Miss Arlen Ziemann, Fearow, sheep
Towanda Runolfsdottir, Farfetch'd, platypus
Aundrea Hermann, Bellsprout, platypus
Landon Cronin, Dugtrio, jellyfish
Damian Daniel, Vaporeon, chimpanzee
Forest Stanton, Gloom, antelope
Buck Schinner, Jynx, pig
Broderick Barrows PhD, Spearow, monkey
Shenika Beahan, Nidorina, cicada
Sharleen Friesen I, Ivysaur, hamster
Melodie Renner, Pinsir, cheetah
Mrs. Milford Bayer, Butterfree, ape
Kamilah Cruickshank, Mew, spider
Ms. Harlan Littel, Staryu, sheep
Felecia Schulist, Exeggcute, hippopotamus
