Miss Antoine Jakubowski, Gengar, hedgehog
Orval Simonis, Venomoth, zebra
Elvie Hettinger, Pidgeot, raven
Sha Hoppe, Kabutops, gnu
Mr. Cristine Balistreri, Jynx, macaw
Ms. Granville Rau, Gyarados, giraffe
Annemarie Bashirian PhD, Golduck, whale
Miss Bryon Hermann, Wigglytuff, walrus
Minerva Lang, Rhydon, monkey
Mrs. Danny Nitzsche, Abra, mule
Mona Williamson, Chansey, tiger
Laronda Cummerata, Kangaskhan, snake
Lauren Konopelski, Ponyta, porpoise
Domitila Stracke, Nidoqueen, minnow
Jeannie Harris, Hitmonchan, reindeer
Hilde Welch V, Geodude, rhinoceros
Chara Zieme, Tauros, turtle 
Mr. Chung Koepp, Exeggutor, crow
Miss Georgeann Miller, Hypno, impala
Jarvis Volkman, Pikachu, guinea pig
Darryl Gulgowski V, Dragonair, snail
Bell Erdman, Clefairy, jackal
Imogene Greenholt, Flareon, ferret
Shannon Paucek MD, Moltres, mouse
Nolan Weimann, Shellder, goose
Ali Botsford, Fearow, turtle 
Madonna Gutkowski, Psyduck, hamster
Tobias Mante, Marowak, armadillo
Ramona Sporer, Snorlax, raccoon
Mrs. Norbert Padberg, Tauros, gnat
Antony Ledner, Abra, monkey
Hyun Parisian, Nidorino, sea lion
Lynn Bogisich, Mew, coyote
Keshia Treutel, Weedle, seal
Antonio Auer, Persian, minnow
Noah Paucek, Omanyte, platypus
Berry Robel, Clefairy, spider
Karole Pacocha V, Nidoran, weasel
Miss Ozell Osinski, Slowbro, tortoise
Connie Streich, Mankey, otter
Robby Hilll V, Psyduck, gerbil
Audrea Grant, Golduck, prairie dog
Winter Rutherford V, Rhydon, armadillo
Esta Heller, Gengar, mosquito
Eufemia Hackett, Paras, cod
Faith Harris, Pidgey, wallaby
Tom Bahringer, Ditto, weasel
Claude Rau, Haunter, wombat
Ronny Rosenbaum, Pidgey, snail
Brian Zulauf, Kabuto, marten
