Sammy Pollich, Sandshrew, chimpanzee
Louie Zemlak PhD, Snorlax, chinchilla
Verlie Howe, Clefairy, platypus
Kandra Harber IV, Rhyhorn, eagle
Elmo Altenwerth, Weezing, snake
Thu Lesch, Machoke, moose
Yvonne Pfeffer, Sandshrew, worm
Lavone Gerlach, Psyduck, armadillo
Ms. Felicita Robel, Staryu, crocodile
Dillon Stoltenberg MD, Dragonite, sardine
Bridget Buckridge Sr., Poliwrath, badger
Mr. Lynn McClure, Cloyster, pug
Oscar Bahringer, Victreebel, wallaby
Giovanna Ritchie, Shellder, duck
Nikki Wintheiser, Rhydon, walrus
Hiedi Miller, Weepinbell, seal
Mia Murphy, Nidorino, wallaby
Dr. Al Brown, Weezing, mule
Laurice Olson, Slowbro, goldfish
Jimmy Heathcote, Dratini, ape
Grover Mante, Charizard, sardine
Terrence Renner, Electabuzz, snake
Lula Wiegand, Vaporeon, weasel
Kina Ankunding, Slowbro, mouse
Jefferey Mitchell, Charizard, bear
Lynn Cormier, Krabby, woodchuck
Ligia Mitchell IV, Porygon, goat
Eva Blick, Nidoking, louse
Ellyn White, Parasect, dinosaur
Irvin Lang DDS, Charmeleon, gnu
Donnie Lind, Slowbro, goose
Charleen Johnston, Grimer, chinchilla
Mrs. Rosanna McDermott, Venusaur, rat
Miss Eugena Klein, Eevee, porcupine
Ms. Carmella Gutkowski, Spearow, chinchilla
Malik Larkin, Nidoran, kangaroo
Mary Ebert DVM, Ponyta, duck
Mr. Bobby Trantow, Seaking, giraffe
Chuck Robel MD, Drowzee, yellowjacket
Mr. Jenell Marks, Ekans, minnow
Joyce Crist, Rapidash, porpoise
Cortez Bernhard, Gyarados, elephant
Jacquline Cronin, Seel, elk
Mao Jenkins, Tauros, marten
Tosha Reichert, Primeape, grasshopper
Sheryll Block II, Zubat, bat
Ute Pacocha, Slowbro, grasshopper
Gregg Bailey, Hypno, hornet
Alton Corwin, Machoke, wallaby
Sanjuana Stehr, Weezing, whale
