Shirlee Koelpin, Raichu, locust
Allen West, Koffing, donkey
Austin Stracke, Exeggutor, yellowjacket
Andres Daugherty, Exeggcute, snail
Talitha Gottlieb, Moltres, ant
Graig Hudson, Nidoran, snail
Novella Kautzer MD, Mr. Mime, sea lion
Nenita Volkman, Beedrill, leopard
Miss Freeda Hagenes, Articuno, hare
Evette Gerlach, Ekans, pig
Dr. Leland Herman, Venonat, mouse
Maryjane Murphy, Nidorina, cheetah
Ana Kuhic, Seadra, weasel
Miss Ronnie Fritsch, Venusaur, platypus
Maximo Von, Tentacool, impala
Cher Huels, Eevee, salmon
Nick Bahringer, Nidoran, raven
Wyatt Heathcote, Jynx, snake
Carley Haag, Psyduck, rabbit
Garland Hoeger, Mewtwo, otter
Ms. Katlyn Farrell, Bulbasaur, impala
Omar Towne I, Machop, manatee
Miki Romaguera PhD, Mewtwo, oyster
Mamie Sporer, Electrode, hedgehog
Harriett Price DVM, Rhyhorn, marten
Wilton DuBuque, Staryu, elk
Roland Nitzsche, Clefairy, mule
Reuben Lynch, Venonat, hippopotamus
Mr. Pennie Jacobson, Venonat, hare
Candance Windler, Graveler, wolf
Lucio Shanahan, Onix, fish
William Bayer, Ekans, spider
Miss Sonja Watsica, Dodrio, mosquito
Dr. Rafael Wolff, Haunter, cod
Shaunte White, Dratini, rat
Whitney Armstrong, Seel, buffalo
Doug Deckow MD, Jolteon, zebra
Vance Collier, Wartortle, rat
Suzan Pfannerstill, Growlithe, worm
Brandie Pacocha, Kakuna, dog
Eldridge Schroeder I, Venomoth, gnu
Isaiah Olson IV, Vulpix, wolf
Michael Ziemann, Arcanine, weasel
Leandro Klocko, Kabuto, hedgehog
Lamar Abernathy I, Primeape, crab
Conrad Hahn, Kadabra, yak
Dolores Stamm, Psyduck, salmon
Dusty Heller Jr., Tangela, shark
Roni Gleichner, Farfetch'd, jellyfish
Jerome Pfannerstill, Alakazam, caribou
