Hyun Gleichner Sr., Primeape, elk
Dr. Dirk Windler, Golduck, squirrel
Hassan Parisian PhD, Kakuna, pig
Margherita Rolfson DDS, Growlithe, moose
Joseph Schroeder, Abra, snake
Gayle Greenholt, Squirtle, antelope
Deidre Kohler, Onix, mouse
Kelly Smith, Dodrio, otter
Morris Swift, Shellder, turtle 
Vanesa Kuphal, Fearow, dog
Michal Homenick MD, Poliwag, mosquito
Annalee Padberg II, Victreebel, tiger
Roselee Kautzer, Victreebel, baboon
Carolyn Considine, Hitmonlee, dog
Pattie Crona MD, Snorlax, prairie dog
Lamont Fritsch, Spearow, fish
Alfonzo Bernhard, Pikachu, spider
Antoine Batz, Mankey, porcupine
Mr. Danilo Green, Hypno, minnow
Dr. Zachariah Price, Zapdos, mink
Marcelo Pacocha, Rapidash, alpaca
Ms. Huey Hackett, Snorlax, giraffe
Jon Veum, Nidoran, clam
Micheal Keebler III, Zapdos, wombat
Hollis Russel, Jigglypuff, gnu
Nickolas Larkin, Tangela, bee
Wes Vandervort, Pinsir, coyote
Deon Hahn, Venomoth, caribou
Marya Sawayn Jr., Bellsprout, mammoth
Ai Leuschke, Ivysaur, dinosaur
Buck Goldner, Pinsir, zebra
Jae Little PhD, Dragonite, fish
Rosia Mills, Nidoran, prairie dog
Donnie Hintz, Weezing, dinosaur
Aldo Lemke, Nidoran, manatee
Graham Robel, Haunter, kangaroo
Lisbeth Tromp V, Onix, monkey
Dr. Robt McClure, Chansey, ant
Mr. Ashley King, Wartortle, toad
Tad Moore, Machamp, rabbit
Andy Fay, Zapdos, fish
Chante Marvin, Voltorb, wasp
Miss Janine Leannon, Bulbasaur, sheep
Bret Veum MD, Wartortle, cicada
Laci Wilkinson, Seel, tiger
Drusilla Greenfelder, Alakazam, yak
Carlena Denesik, Omanyte, camel
Brittney Wintheiser, Ponyta, turtle 
Tiana O'Reilly, Golduck, fly
Dr. Noel Padberg, Horsea, cod
