Alisha Beatty III, Pidgey, hamster
Summer Bode, Ditto, jackal
Dr. Emmett Romaguera, Mew, termite
Dalila Langosh, Nidoran, chimpanzee
Barton Barton, Dragonair, wasp
Celine Schmidt DDS, Lickitung, squirrel
Theodore Cremin, Mankey, raccoon
Mrs. Jarrod Vandervort, Poliwhirl, alpaca
Beatriz Hodkiewicz, Victreebel, termite
Shu Green, Sandslash, panda
Mrs. Shamika Rath, Lickitung, raven
Shakita Herman, Cloyster, spider
Marva Kuhlman, Omanyte, shark
Mabel Pagac, Chansey, mammoth
Whitney Stamm, Sandslash, impala
Minta Kozey, Koffing, llama
Jillian Jast, Weedle, rat
Antonio Lueilwitz, Kadabra, prairie dog
Lynetta Lakin, Kabuto, kangaroo
Sung Bernhard, Grimer, butterfly
Geneva Cummings, Exeggcute, frog
Mrs. Daniell Bernhard, Beedrill, pug
Aundrea Nader, Drowzee, cheetah
Columbus Fadel, Ivysaur, yellowjacket
Jonelle Howe, Tentacool, giraffe
Florence Padberg, Venonat, locust
Earlie Hodkiewicz PhD, Clefairy, eagle
Isidro Boyer, Dodrio, porcupine
Ms. Sarina Metz, Raticate, jackal
Pamela Skiles, Jolteon, walrus
Mr. Kerry Beier, Machoke, beaver
Opal Ritchie, Zapdos, sardine
Miss Fletcher Parisian, Gastly, kangaroo
Miss Arnoldo Stokes, Nidoran, fish
Young Sporer, Machoke, ape
Jamaal Mraz, Abra, cicada
Vivien Stoltenberg, Muk, eel
Miss Dane Wisozk, Ditto, gorilla
Shauna Parisian, Muk, hare
Otha Bauch, Mew, tiger
Gerda Schroeder PhD, Diglett, mouse
Cameron Rutherford, Weepinbell, marten
Edward Ortiz, Charmander, mallard
Ami Raynor Jr., Chansey, herring
Bobbie Zboncak, Kakuna, snake
Serina Morissette, Poliwhirl, whale
Dr. Jeffrey Schultz, Mew, bat
Lyman Lakin, Electrode, hamster
Fernando Waelchi, Parasect, wasp
Classie Hane, Spearow, cod
