Gretchen Krajcik, Seel, tiger
Jazmin White, Arcanine, llama
Miss Dwayne Beatty, Haunter, camel
Gustavo Gislason, Golduck, monkey
Susanna Hoeger DDS, Tentacruel, gnat
Vertie Osinski, Bellsprout, badger
Maybell West, Hypno, ferret
Zona Bradtke, Raticate, reindeer
Steven Muller, Marowak, gnat
Coralie Roob, Cubone, frog
Alva Bailey, Raichu, koala
Barney Heller, Voltorb, ferret
Alvina Auer, Zapdos, cockroach
Ms. Emory Goodwin, Ninetales, sardine
Grover Zemlak V, Ekans, fox
Ena Ondricka, Horsea, hamster
Vita Murray, Sandslash, dinosaur
Jamey Franecki, Venomoth, horse
Mrs. Laure Waelchi, Ekans, crocodile
Albertina MacGyver, Slowpoke, rhinoceros
Kymberly Boyle, Ponyta, cheetah
Meagan Friesen IV, Weepinbell, muskrat
Gilda Mraz I, Charizard, termite
Jamee Gaylord, Farfetch'd, mammoth
Doretta Frami, Seaking, porpoise
Ethan Hoeger IV, Rapidash, zebra
Raymon Abbott, Articuno, hyena
Chester Zulauf, Butterfree, muskrat
Ida Denesik, Jolteon, guinea pig
Phillip Baumbach V, Golbat, scorpion
Maurine Corkery, Staryu, buffalo
Zachary Balistreri, Kakuna, gorilla
Emmy Batz, Pikachu, monkey
Rudolf Hayes, Geodude, jellyfish
Ben Leffler, Moltres, cattle
Gala Wisoky, Kangaskhan, eagle
Billy Dach, Persian, alligator
Laticia Heidenreich V, Vulpix, alpaca
Dr. Claude Jerde, Spearow, hyena
Rolf Strosin, Clefairy, baboon
Mai Abbott, Kabutops, serval
Man Murphy, Ponyta, chimpanzee
Terry Collier, Nidorina, goose
Luis Emmerich, Eevee, giraffe
Kevin Hahn, Nidorina, yak
Serina Bahringer, Wigglytuff, pug
Hugh Mayert, Kabuto, porpoise
Ivory Pagac, Machamp, alpaca
Reena Schmeler, Golduck, otter
Teodoro Padberg, Doduo, eel
