Meredith Rosenbaum, Dragonite, gnu
Abe Gislason V, Bellsprout, gerbil
Odessa Wiza, Mr. Mime, beaver
Arden Morar, Tentacool, frog
Kip Upton, Nidoran, pug
Dr. Kenneth Fadel, Dewgong, locust
Rickie Senger PhD, Butterfree, baboon
Ms. Gabriele Blick, Clefable, impala
Sid Kilback, Dugtrio, cod
Dr. Lucius Kihn, Cubone, muskrat
Boris Lang, Voltorb, zebra
Lavern Hettinger, Tentacruel, llama
Silas Bins, Dragonair, wildebeest
Ora Larkin, Pikachu, wallaby
Mose Crona, Magikarp, lion
Maurita Goldner, Dragonair, elk
Asa Lueilwitz II, Ninetales, ant
Oscar Lynch, Magmar, bee
Odis Heidenreich Jr., Tentacool, jellyfish
Armand Bernier, Ponyta, elephant
Ms. Elene Crooks, Gengar, butterfly
Lecia Nader DDS, Marowak, yak
Rosena Dibbert, Venomoth, bat
Leisa Wilderman, Seaking, tiger
Jimmie Dach, Tentacool, elephant
Marshall Schaefer, Jolteon, ferret
Gayle Davis, Tentacool, wombat
Lavelle Graham, Meowth, gnu
Nila Tillman, Zapdos, muskrat
Loriann Brown, Kingler, guinea pig
Denver Langosh, Charizard, clam
Maddie Kuhlman, Gengar, fish
Alvera Schimmel, Electabuzz, swan
Jessie Douglas, Diglett, jackal
Kieth Swift, Gengar, gnu
Joseph Schulist, Wartortle, wasp
Jerrica Connelly, Gyarados, hare
Boyce Lockman, Magneton, yak
Eli Sanford, Machop, salmon
Rayford Rempel, Magikarp, turtle 
Ryann Conroy, Charmander, sardine
Rigoberto Wilkinson, Koffing, deer
Damian Reichert, Haunter, antelope
Leola Gislason, Vileplume, toad
Fermin Carter, Victreebel, eel
Vivien Kulas, Zubat, chimpanzee
Vito Dickens, Fearow, gnu
Mei Abernathy, Farfetch'd, fish
Cesar Franecki, Magikarp, zebra
Classie Dicki, Zubat, elephant
