Shellie Brekke III, Nidorino, badger
Henriette Boyer, Exeggcute, panda
Garland Swift, Tentacruel, louse
Amado Konopelski MD, Pidgeot, crow
Bertram Daugherty, Gastly, caribou
Chuck Swift, Vileplume, spider
Monserrate Botsford, Venonat, whale
Miss Filiberto Jerde, Slowpoke, cheetah
Wilbert Robel, Tangela, beetle
Felipe Cartwright III, Jolteon, bat
Candace Watsica, Drowzee, worm
Miss Buena Kuhic, Starmie, wildebeest
Daren MacGyver, Dodrio, marten
Erasmo Wehner, Goldeen, sea lion
Mariana Kuvalis, Dugtrio, serval
Garland Schmeler, Oddish, manatee
Mara Fahey, Gyarados, gorilla
Ester Stokes, Squirtle, rabbit
Irwin Cummings, Hypno, caribou
Cindy Runolfsdottir, Electrode, wolf
Mr. Mathilde Stamm, Exeggcute, weasel
Alexis Klocko, Arcanine, walrus
Martin Johns, Nidoking, shark
Ms. Stacy Ritchie, Beedrill, hyena
Jude Swift, Ekans, horse
Consuelo Smitham, Hypno, ant
Dr. Neoma Rodriguez, Zapdos, worm
Miss Berenice Witting, Dragonair, mole
Khadijah Hudson, Ponyta, lion
Annette Kuphal, Dragonite, snail
Mrs. Margery Trantow, Bellsprout, moose
Lesley Ernser, Krabby, walrus
Kareem Ferry, Nidorino, butterfly
Alisia Jones, Weedle, ox
Dot Ondricka, Magmar, mole
Miss Lilia Ziemann, Aerodactyl, leopard
Leonard Reilly, Venusaur, wombat
Van Rosenbaum, Machoke, weasel
Kathe Spinka, Rhyhorn, wombat
Terrence Hermann, Rattata, porcupine
Bobbye Funk, Rapidash, prairie dog
Dr. Aubrey Zemlak, Lickitung, llama
Frederick Marks, Hitmonchan, lizard
Perry Cremin, Exeggcute, turtle 
Lyle Legros, Onix, badger
Marta Hartmann, Mew, crow
Grazyna Halvorson III, Drowzee, dolphin
Joleen Larson, Rapidash, hornet
Venessa Stanton PhD, Bellsprout, antelope
Laureen Ebert DDS, Lapras, sea lion
