Ardis Denesik, Gengar, sheep
Jae Yundt, Vulpix, fly
Paulene Stanton, Weepinbell, walrus
Renae Botsford III, Golduck, swan
Luci Jast, Hitmonlee, snake
Cordell Schmeler Jr., Aerodactyl, porpoise
Mr. Harris Runolfsson, Zapdos, deer
Ms. Consuela Bergnaum, Muk, wasp
Kathaleen Hane, Slowpoke, badger
Sau Bergnaum DVM, Rhydon, yak
Janeth Satterfield, Vulpix, termite
Marcelino Anderson, Diglett, baboon
Malik Hansen, Primeape, impala
Mrs. Lelia Lind, Vulpix, platypus
Miss Yasuko Nader, Meowth, mosquito
Donnie Jast, Starmie, louse
Clark Kuhic, Eevee, mallard
Vickey McLaughlin PhD, Staryu, spider
Evelynn Prohaska, Weezing, crab
Shela Koss Sr., Koffing, marten
Hai Champlin PhD, Moltres, grasshopper
Mildred Rosenbaum Sr., Arcanine, bat
Miss Nellie Cormier, Staryu, raccoon
Michele Lueilwitz, Nidoking, serval
Shaina Reilly, Spearow, fish
Humberto Rowe, Starmie, tortoise
Mr. Chong Adams, Weepinbell, alpaca
Shelby Hettinger, Ekans, tortoise
George Lehner, Tentacruel, hippopotamus
Hollie Rau, Dodrio, alligator
Jimmie Renner, Hypno, toad
Mrs. Dale Wehner, Omanyte, weasel
Lamont Tremblay, Magneton, otter
Nu Boyle, Dragonite, gnu
Tad Turner, Charmander, muskrat
Garret Gibson, Bellsprout, goat
Del Schimmel IV, Omastar, spider
Twyla Yost, Gastly, raccoon
Marcos Rosenbaum, Ponyta, dolphin
Shirely Bogan, Ninetales, ape
Esmeralda Gutmann I, Snorlax, mole
Emogene Kreiger, Charmander, beaver
Mr. Marceline McCullough, Magmar, prairie dog
Johnnie Treutel Jr., Lapras, donkey
Roselee Langosh, Ponyta, gnu
Dave Walker, Porygon, eel
Cecil Mann, Tentacool, mink
Mica Rempel, Magnemite, hornet
Dana McLaughlin, Poliwhirl, minnow
Walter Spencer, Dodrio, cattle
