Gerry Ebert Jr., Graveler, mallard
Ethan Bernhard, Kingler, whale
Garland Cummerata, Nidoran, eagle
Johnetta Morar, Rapidash, otter
Mr. Lewis Kuvalis, Omanyte, whale
Luisa Turner, Weepinbell, eagle
Kirk Ortiz DVM, Koffing, oyster
Ellena Zulauf, Muk, horse
Florida Spinka, Dratini, eel
Ismael Smith, Voltorb, jackal
Margherita Harvey, Sandslash, woodchuck
Loyd Maggio Jr., Poliwrath, minnow
Mrs. Shane Williamson, Weezing, shark
Warren Nitzsche, Charmeleon, snail
Yuk Wunsch I, Electabuzz, fish
Lynsey Ankunding, Magmar, snake
Emmanuel Pouros, Kingler, raccoon
Ona Douglas, Hypno, caribou
Art Lebsack PhD, Charmeleon, rhinoceros
Wilmer Boehm, Alakazam, ape
Keva Langworth, Electrode, goose
Mr. Natosha Vandervort, Voltorb, wasp
Bennett Ankunding, Pidgeotto, marten
Lela Romaguera, Pinsir, otter
Mr. Booker Stanton, Golem, giraffe
William Cummerata, Rhydon, camel
Mrs. Trey Toy, Tentacruel, swan
Ima Yost I, Gyarados, worm
Ismael Hagenes, Dragonair, alpaca
Roy Stiedemann, Vileplume, wombat
Melodi Wilkinson MD, Clefable, raven
Palmer Hyatt, Mewtwo, ferret
Zandra Harber, Nidoking, trout
Mr. Linwood O'Reilly, Hitmonchan, gnat
Kent Huels, Articuno, moose
Fred Batz, Sandshrew, tiger
Carol Ratke, Mewtwo, koala
Suzanna Blanda, Sandslash, gerbil
Teofila Reichert, Electabuzz, coyote
Dr. Hilario McClure, Nidorino, duck
Leigh Rowe II, Krabby, wombat
Tobie Rippin III, Dratini, buffalo
Buster Wintheiser I, Dugtrio, hamster
Whitney Runolfsson, Nidoking, coyote
Miss Fleta Littel, Machoke, swan
Jere Donnelly, Eevee, skunk
Myung White, Golbat, mole
Julieann Hickle, Eevee, beetle
Eddie Senger DVM, Lapras, buffalo
Renaldo Effertz, Zubat, tiger
