Jackie Larson, Electrode, gnat
Lue Johnson, Vulpix, panda
Kermit Ferry, Flareon, locust
Iva Walsh, Seaking, buffalo
Dick Baumbach, Metapod, wombat
Luisa Zboncak, Eevee, marten
Rodney Renner, Gengar, raccoon
Stanton Stokes Sr., Lickitung, wolf
Wilfred Kerluke, Chansey, guinea pig
Calvin Metz, Graveler, chimpanzee
Annalee Lynch, Slowbro, ox
Joelle Kihn, Omastar, crocodile
Martha McLaughlin, Nidoking, dog
Eleonore Will, Parasect, leopard
Huong Homenick, Dratini, fox
Allen Leffler, Dugtrio, louse
Danielle Reinger, Poliwhirl, dog
Tomas Collins, Voltorb, giraffe
Otha Hills, Omanyte, badger
Suellen Frami, Fearow, oyster
Lupe Beier, Kangaskhan, gnu
Saundra Reynolds IV, Wartortle, trout
Kraig Nitzsche, Poliwrath, donkey
Dr. Elli Jerde, Charizard, seal
Enrique Lang, Wigglytuff, louse
Mr. Mozella Zemlak, Staryu, wallaby
Rafael Kirlin, Exeggcute, platypus
Anthony Waelchi II, Grimer, prairie dog
Mrs. Nichole Gibson, Jigglypuff, monkey
Allen O'Conner, Raticate, armadillo
Anton Morissette, Paras, walrus
Azalee Johns, Graveler, serval
Edmund Weimann DVM, Zapdos, reindeer
Stacy Kessler, Weedle, snail
Virgil Kessler, Mr. Mime, beetle
Cody Hauck, Koffing, hornet
Randell Langosh, Farfetch'd, monkey
Ms. Romelia Krajcik, Zapdos, cattle
Laurence Mann III, Moltres, elephant
Audrey Fahey, Vaporeon, raven
Miss Basil Braun, Jolteon, wallaby
Charley Gutmann, Gastly, wildebeest
Jeffry Jenkins, Magneton, grasshopper
Edmundo Raynor, Mr. Mime, badger
Meri Towne, Sandslash, weasel
Alfonso Hermann, Spearow, toad
Chloe Waelchi, Bulbasaur, turtle 
Jenette Jast, Muk, squirrel
Myrtice Hamill, Ninetales, clam
Irena Keeling, Horsea, herring
