Quinton Powlowski, Snorlax, platypus
Ula Feil, Onix, deer
Trish Hayes, Haunter, wildebeest
Kristopher Rogahn, Ponyta, hedgehog
Yuk Hahn DVM, Victreebel, skunk
Isreal Murphy, Abra, snake
Ammie Rippin, Wigglytuff, caribou
Marcelene Graham, Ditto, armadillo
Sarina Hauck, Abra, hornet
Louis Schaden PhD, Growlithe, alpaca
Linda Kshlerin, Dragonair, worm
Daryl Wolf V, Dugtrio, skunk
Mariann Smith Sr., Hitmonchan, giraffe
Riley Corkery DVM, Lickitung, rat
Bryce Schamberger MD, Charmeleon, wolf
Miss Lewis Cartwright, Meowth, sea lion
Lewis Greenfelder, Staryu, walrus
Ryan Koelpin V, Tentacool, antelope
German Jones, Moltres, rat
Toi Goldner, Moltres, frog
Kelly Nader, Vaporeon, louse
Michael Prosacco, Haunter, woodchuck
Morgan Jakubowski III, Chansey, sea lion
Valorie Hyatt, Snorlax, coyote
Teresia Dare, Bellsprout, donkey
Gaylord Hintz, Pidgeot, pug
Lakiesha Bogan Sr., Marowak, swan
Lemuel Kohler III, Fearow, macaw
Chung Dickens PhD, Spearow, baboon
Miss Marlo Ratke, Tauros, llama
Golda Kilback, Clefable, manatee
Winford Gerhold MD, Psyduck, hedgehog
Brittani Gislason, Articuno, rhinoceros
Karoline Connelly, Golduck, panda
Philip Baumbach, Koffing, butterfly
Felice Considine, Cubone, panda
Adrian Mills, Jolteon, dolphin
Carmina Pfannerstill, Nidoran, deer
Edgardo Klein, Weepinbell, donkey
Jude Feest, Geodude, fish
Elwood Pacocha, Ivysaur, yak
Chong Cole, Starmie, marten
Jamaal Olson, Mewtwo, marten
Mrs. Daron Lynch, Seel, sardine
Shirlee Dietrich IV, Rattata, wasp
Mr. Milissa O'Keefe, Meowth, grasshopper
Cherish Blick, Vulpix, ant
Rashad Gleichner II, Charizard, louse
Myong Metz Jr., Nidorino, ox
Derek Christiansen PhD, Voltorb, wolf
