Yoko Johnston, Poliwhirl, leopard
Pablo Spinka, Magmar, minnow
Mrs. Myles Shanahan, Koffing, gorilla
Lazaro Heidenreich DVM, Nidoqueen, hippopotamus
Sau Goodwin DVM, Vaporeon, horse
Oswaldo Blanda MD, Rhyhorn, tortoise
Sharri Moore MD, Kabuto, monkey
Mr. Edie Heaney, Rhydon, hedgehog
Marguerite Prohaska, Gloom, panda
Modesto Armstrong II, Arcanine, coyote
Myrna Stokes PhD, Growlithe, platypus
Raye Hammes, Charmander, cattle
Scott Blanda, Magneton, rabbit
Alvaro Mitchell, Tangela, locust
Danny Aufderhar II, Slowpoke, bat
China Bruen, Wartortle, badger
Monty Crooks, Clefairy, porpoise
Susana Rosenbaum, Hitmonchan, seal
Tracey Von, Abra, hamster
Alberto Mante, Seel, ape
Galen Hoeger, Jigglypuff, swan
Mrs. Derrick Toy, Kabutops, sardine
Sung Hammes, Vaporeon, badger
Sheldon Kuphal, Oddish, mouse
Amina Kilback, Gyarados, worm
Lindsey Walker, Poliwhirl, hyena
Darrin White, Growlithe, sea lion
Erasmo Hane, Dragonite, tortoise
Miss Kyoko Daugherty, Golduck, rat
Woodrow Reichel, Farfetch'd, crab
Kendrick Treutel, Hypno, crab
Dr. Armando Emmerich, Golduck, sea lion
Miss Alonzo Jakubowski, Mew, rhinoceros
Mason Lesch, Nidoran, llama
Bryan Welch, Clefairy, guinea pig
Tamra Morissette, Alakazam, chimpanzee
Katelynn Koepp, Geodude, water buffalo
Almeda O'Reilly, Mankey, tiger
Ronni Frami, Seaking, grasshopper
Kasha Nader, Clefairy, antelope
Vania Zemlak, Paras, cockroach
Waneta Hudson, Vileplume, cat
Margot Durgan DDS, Arbok, wasp
Maximo Kuphal, Dewgong, impala
Archie Ratke, Muk, porpoise
Miss Bobby Waelchi, Caterpie, shark
Miss Margarete Lesch, Arbok, clam
Felicitas Maggio, Aerodactyl, swan
Gilma Parisian, Moltres, oyster
Jacinda Runolfsdottir Sr., Pidgey, fly
