Vivian Ritchie Sr., Hitmonchan, pig
Danilo Oberbrunner Jr., Koffing, sheep
George Hyatt, Doduo, crab
Maud Schiller, Weepinbell, swan
Ms. Merlin Hoppe, Charizard, snail
Ms. Stefany Moore, Kangaskhan, mammoth
Christian Rau, Dodrio, herring
Karena Kassulke, Jigglypuff, jellyfish
Vito Weimann, Jolteon, worm
Mr. Robert Gorczany, Lapras, crab
Charley Hilll, Vileplume, muskrat
Jason Turner, Krabby, buffalo
Erich Wilkinson, Primeape, camel
Jacki O'Reilly, Poliwag, pig
Barney Klocko, Pidgey, dinosaur
Lorriane Kertzmann, Grimer, elephant
Tamera Beatty, Nidorina, oyster
Laurence Macejkovic, Staryu, fish
Sergio Jakubowski PhD, Arbok, crocodile
Shirley Toy, Arcanine, hound
Nathan Schumm, Ninetales, cattle
Mr. Deedee Fadel, Persian, hyena
Mario Hyatt I, Jigglypuff, raccoon
Miss Glennis Prohaska, Golbat, bee
Alvaro Sporer, Dewgong, bee
Queenie Effertz DDS, Persian, crow
Ivana Kuhn, Nidoqueen, moose
Luis Hegmann, Blastoise, koala
Mrs. Reed Trantow, Vileplume, porpoise
Evelyne Collins, Pidgey, minnow
Marguerita McLaughlin, Eevee, fly
Sophia Weber, Eevee, goat
Esperanza Franecki, Omastar, rat
Marinda Mueller, Beedrill, whale
Kristeen O'Connell, Rattata, dog
Roma Koss II, Ekans, koala
Stuart Little, Golem, gnat
Signe Hauck, Tangela, reindeer
Gene Dicki, Kakuna, cricket
Frederic Kessler MD, Growlithe, mallard
Pierre Miller V, Hitmonlee, rabbit
Thurman Kunze, Meowth, fish
Marquitta Yost, Kabuto, hound
Julianna Kirlin, Muk, crab
Keitha Schinner, Jolteon, chinchilla
Jaqueline Russel, Marowak, camel
Man Gusikowski, Gloom, fish
Herbert Effertz, Fearow, snake
Ardell Jakubowski, Dragonair, whale
Mr. Issac Bernhard, Arbok, toad
