Gerry Hackett, Ekans, goose
Carissa Maggio, Electrode, chinchilla
Abraham Crona, Nidorino, ferret
Dr. Leonor Quitzon, Wartortle, yellowjacket
Jasper Hartmann MD, Seel, swan
Cynthia Keebler, Shellder, fly
Miss Erin Beahan, Gyarados, worm
Jacquie Beatty, Clefairy, hare
Carline Kuhic, Poliwag, cockroach
Genaro Rippin, Venonat, alligator
Margery Thiel, Seaking, wildebeest
Tammera Gusikowski, Scyther, yak
Tommy Miller, Dratini, ant
Darrick Thiel, Abra, panda
Curtis Harber, Bulbasaur, kangaroo
Glennie Wiegand, Tentacool, termite
Chadwick Macejkovic, Beedrill, porcupine
Noriko Anderson, Voltorb, dinosaur
Mrs. Bethanie Sawayn, Pikachu, rhinoceros
Lorretta Pouros, Golduck, lizard
Valentin Jacobs, Omastar, monkey
Caridad Ebert, Nidoran, sardine
Bambi Koepp, Bulbasaur, cattle
Zane Wuckert, Zapdos, toad
Arturo Leuschke DVM, Vulpix, trout
Tora Goodwin, Krabby, turtle 
Nancy Koepp, Diglett, swan
Ms. Colton Towne, Kadabra, badger
Dr. Woodrow Howell, Seadra, jackal
Reggie Barton, Voltorb, toad
Larissa Robel, Kingler, crab
Micah Hayes, Kakuna, hornet
Maris Swift, Koffing, zebra
Deetta Schamberger, Cloyster, tortoise
Josphine Gutkowski, Ekans, porpoise
Julio Koch, Electrode, crocodile
Marlon Spencer DVM, Nidoran, ferret
Dr. Fredericka Rippin, Golbat, rhinoceros
Zachary Wolff, Electrode, fox
Patsy Gibson, Machop, rabbit
Eddie Frami, Scyther, locust
Shalonda Champlin, Haunter, mouse
Tran Schowalter, Gastly, hamster
Mr. Catherina Monahan, Seaking, ox
Pasquale Dickinson, Ivysaur, locust
Nia Johnston, Lapras, oyster
Maureen Dooley MD, Farfetch'd, trout
Ms. George Haley, Ditto, wasp
Colleen Kshlerin, Nidoqueen, donkey
Miss Mike Bechtelar, Butterfree, eel
