Loreen Welch PhD, Charmander, sardine
Laverna Treutel, Machop, water buffalo
Herschel Witting, Starmie, snail
Necole Daugherty, Eevee, termite
Kandace Gusikowski, Goldeen, caribou
Dr. Damian Stiedemann, Growlithe, horse
Eura Lockman, Charizard, rat
Julius Murray, Dodrio, mule
Ms. Charity Rogahn, Weedle, hornet
Mr. Kylee Reinger, Doduo, termite
Michel Kovacek, Nidorino, camel
Kenton Jacobi, Arbok, antelope
Sandra Senger, Beedrill, cheetah
Heide Champlin, Mr. Mime, camel
Dr. Edwina Kautzer, Charmander, dog
Alfonso Gutmann, Hitmonlee, mammoth
Mrs. Donald Stark, Dodrio, horse
Gonzalo Turner, Bellsprout, beetle
Rex Monahan, Nidorina, guinea pig
Lashell Hessel, Hitmonchan, leopard
Dr. Gilberto McDermott, Dewgong, beaver
Franklin Tillman, Victreebel, hound
Bernie Haley, Kakuna, goat
Leslie Hickle, Jolteon, ant
Donn MacGyver V, Nidoqueen, hare
Kareen Brekke III, Caterpie, bee
Geoffrey Corkery, Drowzee, clam
Jody Corkery, Exeggcute, crow
Sau Hane, Chansey, skunk
Shon King, Grimer, serval
Milda Smith, Blastoise, raven
Sabra Hane, Growlithe, sheep
Miss Kenia Hudson, Nidoran, hippopotamus
Ismael Kuphal Sr., Wigglytuff, hamster
Vicki Klein, Golbat, koala
Miss Maryetta Armstrong, Rattata, ant
Shawana Hintz, Snorlax, koala
Mrs. Alba Anderson, Hitmonchan, herring
Gaylord Cummerata, Seel, platypus
Jonas Stark MD, Wigglytuff, donkey
Pandora White, Kabutops, deer
Eustolia Paucek Jr., Abra, oyster
Rossie Schneider, Victreebel, goat
Mrs. Wallace Marks, Kabuto, eagle
Madeline O'Conner Jr., Bellsprout, minnow
Nicky Kris, Jynx, herring
Herbert Vandervort, Rapidash, fox
Gabrielle Torp, Machamp, mink
Kymberly Bogisich, Zubat, mule
Joey Schroeder, Goldeen, clam
