Wilfredo Pagac, Omastar, yellowjacket
Marissa Schuppe, Nidorino, crab
Sal Olson, Dugtrio, buffalo
Bruno Kertzmann, Nidorino, eagle
Murray Kihn, Nidoran, hippopotamus
Carlee Hessel, Machamp, alligator
Jay McKenzie, Lickitung, mole
Carlee Bergnaum, Nidorina, raven
Josephina Schroeder, Kakuna, mouse
Keith Marquardt, Meowth, cicada
Lyndon Hackett, Sandslash, rabbit
Luvenia O'Kon, Pidgeot, mink
Amado Dach, Clefairy, walrus
Jeneva Mueller, Diglett, rabbit
Cheryl Ebert V, Hitmonlee, mink
Sang Fritsch, Dewgong, shark
Ms. Lyman Mertz, Onix, sea lion
Augustus Schmidt, Chansey, seal
Blair McClure, Omastar, goat
Mr. Lise Schmitt, Seel, wolf
Rocco Mayert, Haunter, hornet
Laurice Spencer V, Caterpie, sheep
Ms. Anh Wilkinson, Rhyhorn, giraffe
Elmo Ryan, Nidoqueen, macaw
Mr. Gregory Gorczany, Paras, serval
Jeremiah Mann, Dragonair, baboon
Lauren Mertz, Rattata, duck
Mr. Delorse Jacobson, Weepinbell, mouse
Eddie Okuneva, Mew, tiger
Micah Douglas, Dewgong, rhinoceros
Sal Beatty, Gloom, leopard
Deangelo Kozey, Machamp, clam
Teena Rath, Venusaur, horse
Mrs. Arnoldo Dickinson, Poliwag, ferret
Norris Kulas, Raichu, panda
Lashawnda Ward, Charizard, donkey
King Green, Vileplume, armadillo
Evan McGlynn, Spearow, crocodile
Rosamaria Bosco, Magikarp, salmon
Jarred Gerlach, Rhydon, seal
Emilio Upton, Ditto, ant
Jackie Brown, Vileplume, alpaca
Mrs. Louanne Barton, Goldeen, frog
Florene Lebsack, Jolteon, caribou
Rosalina Emard, Blastoise, yak
Reginald Walsh, Nidoking, marten
Percy Flatley, Gastly, eel
Dr. Samira Kassulke, Clefairy, trout
Taneka Braun, Sandshrew, eagle
Kizzie Gulgowski, Poliwrath, macaw
