Wilfredo Frami, Weedle, coyote
Fredrick Wolff, Fearow, pug
Guadalupe Hessel, Cubone, toad
Sylvester Keeling V, Kadabra, marten
Martin Ondricka, Zubat, scorpion
Victor McCullough, Farfetch'd, cicada
Evon Grimes, Clefable, turtle 
Candance Satterfield, Rattata, cicada
Adaline Koepp, Primeape, herring
Stevie Sawayn, Psyduck, wasp
Leia Cronin, Nidorino, muskrat
Miss Florentino Langworth, Exeggutor, elephant
Vita Howell DVM, Mankey, hippopotamus
Sean Weber, Kingler, giraffe
James Schoen MD, Rattata, ape
Rebecca Denesik, Butterfree, panda
Don Wunsch Jr., Eevee, reindeer
Babara Braun, Hitmonlee, raven
Allen Purdy, Snorlax, ferret
Dr. Burl Ryan, Electabuzz, toad
Cheri Bechtelar, Jolteon, trout
Idalia Smitham III, Gengar, eel
Marcelo Ortiz, Snorlax, serval
Vikki Pouros, Haunter, swan
Sheena Keeling, Horsea, alligator
Delpha Block, Farfetch'd, cod
Rhona Lind, Moltres, cricket
Dell Carroll V, Dodrio, cattle
Retha McLaughlin, Electrode, yellowjacket
Altagracia Bashirian DDS, Tangela, zebra
Pia Kessler, Hypno, ox
Teddy Wiza V, Ekans, trout
Ressie Streich, Flareon, mammoth
Mohammed Hansen, Golbat, lion
Mr. Nathanial Collins, Zubat, pig
Cindy Spinka, Squirtle, hyena
Robert Purdy Jr., Growlithe, hamster
Dr. Cheryll Lehner, Machoke, lizard
Al Hermiston, Charmander, grasshopper
Hortencia Cummings, Kakuna, alpaca
Abdul Abernathy MD, Charmeleon, hornet
Amado Lockman I, Golduck, wasp
Cyril Hodkiewicz, Diglett, ape
Dwight Ratke, Electrode, hippopotamus
Tonisha Glover, Bulbasaur, seal
Josef Wyman, Muk, porcupine
Mr. Noble Tromp, Growlithe, goose
Tawana Senger, Hitmonchan, ape
Giovanni Kris DVM, Dugtrio, badger
Russ Frami, Seadra, horse
