Garth Kling II, Chansey, hamster
Danny Stamm, Aerodactyl, gorilla
Miss Carmelia Metz, Jigglypuff, leopard
Magnolia Daniel, Venomoth, toad
Francis Moore, Jolteon, cattle
Ms. Shizue Hilll, Chansey, kangaroo
Marcie Mante, Seaking, deer
Marty Kuvalis, Weedle, rabbit
Micheal Treutel, Drowzee, hedgehog
Luis Braun, Pidgeot, cricket
Dr. Angelia Runolfsdottir, Kakuna, cicada
Fabian Ernser, Growlithe, dog
Brenton Hamill II, Dratini, beaver
Buster Davis IV, Hitmonchan, alligator
Holley Nitzsche, Wartortle, worm
Gisele Senger, Exeggutor, porcupine
Damaris Schinner, Arbok, mammoth
Hong Spencer, Pidgeotto, whale
Carmelia Morissette, Arbok, cod
Doug Carter, Raticate, deer
Miss Adam Keebler, Nidoqueen, donkey
Jamar Kihn, Shellder, jackal
Wiley Schamberger, Seaking, elephant
Mr. Emilio Herzog, Sandshrew, prairie dog
Enoch Murphy, Pinsir, beetle
Modesto Rath, Kabutops, crow
Rueben Fritsch, Nidorina, marten
Davina Zulauf, Staryu, mink
Anderson Berge, Rhydon, ox
Suzy Hansen, Drowzee, raccoon
Bennett Treutel, Seel, dinosaur
Noe Olson, Drowzee, shark
Rusty Hoeger, Nidorina, dolphin
Shirly Block, Charmander, gerbil
Mr. Gerardo Lemke, Charmeleon, cat
Alphonse Stiedemann I, Pinsir, eagle
Bertha Zboncak PhD, Mr. Mime, louse
Echo Bernhard, Squirtle, deer
Mr. Forest Kuhlman, Seaking, armadillo
Warner Kiehn DVM, Magneton, clam
Barney Lynch II, Golem, cricket
Elene Jakubowski, Blastoise, gnat
Lenny Rowe, Electabuzz, duck
Chong Sawayn, Ekans, hamster
Gary Zulauf, Geodude, water buffalo
Claudie Olson, Magnemite, cockroach
Lulu McGlynn Sr., Tangela, frog
Joann Graham I, Geodude, swan
Johnathan Kuphal, Krabby, swan
Jeffrey Smitham, Beedrill, seal
