Tawna Adams, Vaporeon, manatee
Taneka Weimann, Pidgeot, trout
Cleveland Abbott, Ekans, jellyfish
Rosalyn Adams IV, Squirtle, seal
Ezekiel Turcotte, Nidoran, fish
Mr. Joseph Kessler, Electabuzz, crocodile
Callie Grady, Omanyte, raven
Malcom Rodriguez II, Articuno, bat
Octavio Pfannerstill, Abra, mole
Loren Marvin, Rapidash, guinea pig
Gertrud Hagenes, Eevee, cicada
Yessenia Hayes Jr., Hypno, oyster
Sylvester Spinka, Gastly, wasp
Isidro Williamson, Poliwhirl, squirrel
Angelo Mueller, Tentacool, coyote
Emilio Schowalter DVM, Onix, snail
Ms. Adelaida Pfannerstill, Poliwrath, mammoth
Omar Schowalter, Cubone, rhinoceros
Mrs. Estela Hermiston, Paras, ant
Gerardo Schuppe, Goldeen, spider
Derek Williamson DDS, Ivysaur, koala
Kellee Bartoletti, Blastoise, snake
Mrs. Francesco Hand, Wigglytuff, panda
Stanton Kemmer, Grimer, rhinoceros
Jan Bogisich, Pikachu, gnat
Elliot Luettgen, Nidoran, antelope
Miss Darren Bechtelar, Growlithe, fox
Chase Klocko, Arcanine, porcupine
Kasi Nitzsche, Vulpix, wallaby
Lamar Gulgowski DDS, Poliwhirl, yak
Ernie Ferry, Voltorb, mule
Dan Kunze, Nidoran, porcupine
Lyndon Lockman, Venomoth, duck
Claude Blick, Kabutops, mole
Max Mills, Pidgeot, spider
Keenan Thiel, Moltres, porpoise
Renato Rowe, Spearow, cricket
Kacy Howell, Ponyta, coyote
Alysha Hartmann Jr., Dragonair, sardine
Carma Torp, Nidoking, cicada
Gail Heidenreich, Chansey, marten
Randa Schowalter, Venusaur, goat
Chi Wehner, Grimer, mammoth
Geoffrey Glover, Shellder, jackal
Aletha Balistreri, Eevee, skunk
Lela O'Keefe, Lapras, chimpanzee
Winona Quitzon, Wartortle, herring
Verda Gislason, Jynx, rat
Luanne Jakubowski, Gyarados, trout
Lorilee Stracke, Golduck, jellyfish
