Pandora Steuber, Metapod, raccoon
Miss Rayford Dickinson, Doduo, wildebeest
Debera Franecki, Nidoqueen, cod
Hobert Keeling, Blastoise, mosquito
Jeannette Monahan, Onix, hedgehog
Annett O'Kon, Arcanine, scorpion
Fermin Witting, Mankey, fish
Tanja Upton, Drowzee, beetle
Hyman Haag, Seel, hamster
Bennie Grimes, Seel, ox
Bethann Fisher II, Moltres, toad
Ezra Buckridge, Porygon, mosquito
Dave Fahey, Poliwhirl, trout
Lavona Roob, Articuno, salmon
Azzie Howe MD, Starmie, trout
Jamie Pfannerstill, Muk, rabbit
Colin Lesch, Machamp, walrus
Mr. Carlee Feil, Parasect, camel
Quinton Ortiz, Eevee, spider
Lu Gottlieb, Mankey, prairie dog
Rebeca Rempel, Hitmonlee, dolphin
Mao Hayes, Nidoking, ox
Krysten O'Hara, Muk, hamster
Miss Miles Cummerata, Mewtwo, salmon
Luella Emard, Hypno, hippopotamus
Antonia Treutel, Cloyster, mule
Cole Hickle PhD, Dratini, spider
Forest Ward, Paras, guinea pig
Tora Medhurst II, Magnemite, worm
Betty Skiles, Pidgey, lion
Mark Koss, Rhydon, ferret
Miss Bettyann Balistreri, Eevee, whale
Lonny Hand PhD, Bulbasaur, crab
Scottie Daugherty I, Scyther, woodchuck
Josef Pfannerstill Jr., Mankey, ape
Tricia Ziemann, Poliwag, mule
Lorita Hansen DVM, Hypno, porcupine
Bill Stracke, Primeape, ape
Mr. Gail Yost, Kakuna, alpaca
Rhea Hoeger, Oddish, lion
Stuart Weimann, Muk, elephant
Forest Blick, Victreebel, ferret
Jimmie Spinka, Slowpoke, turtle 
Mr. Barton Langosh, Muk, hedgehog
Dr. Pandora Feest, Graveler, goldfish
Hermina Kuhlman, Magikarp, beetle
Clint Schuster, Graveler, eagle
Mr. Shannon Vandervort, Poliwhirl, crocodile
Erasmo Krajcik, Kingler, mammoth
Carrol Yost, Magikarp, seal
