Miss Liza Block, Rhyhorn, moose
Gayla Walsh, Victreebel, badger
Roselia DuBuque, Pinsir, grasshopper
Dallas Lueilwitz, Magnemite, raccoon
Dani Marks DVM, Primeape, otter
Susannah Gorczany, Diglett, woodchuck
Dr. Giovanni Ratke, Tauros, alligator
Kermit Abshire MD, Clefairy, gerbil
Mr. Gordon Kuhlman, Cubone, manatee
Dorothy Hane, Dewgong, otter
Mr. Korey Romaguera, Magikarp, water buffalo
Golden Mohr, Magneton, raven
Lennie Jones, Voltorb, eel
Ms. Karole Kilback, Rhyhorn, donkey
Anastasia Windler, Charmander, worm
Brant Schuppe, Dragonite, fly
Darcel Blick, Geodude, walrus
Alfred Larkin I, Kabuto, hare
Latesha Weimann, Butterfree, macaw
Mrs. Nelly Jerde, Paras, jellyfish
Sharie Rogahn, Golem, snail
Ms. Shannon Strosin, Weezing, panda
Aaron Hackett DDS, Paras, ox
Mrs. Coleen Dickens, Grimer, rat
Nathanial Graham, Wigglytuff, fox
Austin Reilly, Magnemite, cicada
Spencer Wiza, Kakuna, beaver
Martha Bins, Staryu, yak
Asia Orn, Staryu, coyote
Irmgard Lueilwitz V, Nidoqueen, tortoise
Josh Marvin, Onix, gnu
Nada Macejkovic II, Golduck, mule
Trenton Cremin, Kadabra, mallard
Miss Cliff Walsh, Vulpix, eagle
Mrs. Elden Dickens, Spearow, koala
Barney Ferry, Hitmonchan, leopard
Lyman Wolff, Mankey, spider
Donnie Jones MD, Primeape, wildebeest
Kimiko Fay, Rapidash, deer
Dottie Leffler, Beedrill, yellowjacket
Marylou Emard, Mankey, cockroach
Corliss Price, Onix, horse
Micha Lubowitz, Tentacool, bee
Willodean Cronin, Koffing, goat
Larita Harber II, Gyarados, mallard
Sonny Simonis, Marowak, trout
Charmain Rodriguez, Venomoth, mammoth
Monty Ryan, Tauros, salmon
Mr. Leslie Rolfson, Poliwhirl, mallard
Rosette Wisoky, Flareon, bat
