Miss Billie Considine, Dewgong, coyote
Hae Dickinson, Venonat, pig
Mike Dietrich, Tentacruel, wasp
Calandra Kuhlman, Machamp, ox
Wendell Schoen Jr., Venusaur, jackal
Arthur VonRueden, Nidorina, tiger
Theresa Jacobs, Charmeleon, cattle
Randa Volkman, Krabby, sardine
Celesta Hirthe, Pinsir, deer
Arlie Nolan, Persian, butterfly
Dr. Fernando Miller, Kabuto, gnu
Randi Durgan, Electabuzz, ant
Willette Ferry, Nidoking, fly
Bryce Collins II, Parasect, butterfly
Otis Gaylord, Shellder, lion
Freeda Halvorson Sr., Krabby, raven
Santos Tillman I, Venonat, dog
Darwin Leuschke, Grimer, sea lion
Mr. Skye Block, Ditto, snail
Leatrice Nader, Onix, tiger
Juliet Davis, Persian, badger
Mr. Madalyn Abernathy, Kabutops, mole
Darrin King, Pikachu, koala
Edie Von, Starmie, snake
Miss Philip Streich, Pinsir, trout
Ms. Mickey Rippin, Staryu, baboon
Adolph Schmidt, Eevee, porcupine
Lisandra Gerlach, Hypno, wallaby
Leila Hoeger, Paras, platypus
Lise Greenfelder, Vileplume, jellyfish
Dr. Tesha Durgan, Tentacruel, lizard
Ms. Joselyn Christiansen, Gastly, crocodile
Miss Manual Leannon, Voltorb, elephant
Rae Kautzer, Venomoth, elk
Maria Hauck, Nidoqueen, wasp
Mrs. Otha Runte, Wartortle, termite
Lera Bauch, Sandshrew, snake
Mrs. Herschel Heaney, Graveler, platypus
Rubin Collier, Charizard, lion
Rigoberto Glover, Beedrill, rabbit
Jordan Ferry, Onix, woodchuck
Collene Weimann, Kingler, skunk
Dr. Caleb Howe, Ponyta, antelope
Rod Christiansen, Meowth, hedgehog
Ms. Clair Kemmer, Ninetales, lion
Dr. Brittani Yundt, Charizard, dog
Fernando Hills, Pidgeot, walrus
Davida Stokes, Gastly, deer
Myles Parker DDS, Gloom, whale
Trevor Lueilwitz, Nidoqueen, cricket
