Miss Jennifer Weber, Butterfree, crocodile
Mrs. Mac Herzog, Nidoran, whale
Lakendra Ankunding, Seel, tortoise
Twila Witting, Haunter, shark
Bernice Oberbrunner, Magikarp, spider
Mike Gutmann, Rapidash, badger
Jon Batz Jr., Abra, wasp
Jann Zboncak, Graveler, kangaroo
Mr. Breanna Pollich, Fearow, jellyfish
Zulema Johnson, Beedrill, wasp
Gavin Jerde, Scyther, cockroach
Miss Annamaria Gleichner, Raichu, rhinoceros
Robt Turcotte, Bellsprout, whale
Mozella Tillman, Slowbro, hamster
Ms. Gino Mayer, Alakazam, mallard
Lizbeth Huel, Clefairy, frog
Adolph Reichel, Raichu, ferret
Eli Cummings, Kadabra, beetle
Julius McGlynn, Shellder, hare
Elden Koepp, Scyther, bat
Miss Dillon Vandervort, Onix, alligator
Irwin Will, Graveler, hippopotamus
Dr. Dario Farrell, Tangela, jackal
Shawanna Cummerata I, Mewtwo, herring
Ossie Fisher, Jynx, armadillo
Lea Rogahn, Rhyhorn, chimpanzee
Bruno Huels, Nidorina, hamster
Deidre Herman, Tentacool, mink
Fredrick Weimann, Jigglypuff, minnow
Angelina Treutel, Kabuto, crab
Brice Oberbrunner, Magikarp, yellowjacket
Mrs. Bart Harris, Cloyster, water buffalo
Sanjuana Zieme V, Parasect, rat
Jonathon Cremin, Pidgeot, shark
Korey Ritchie, Slowbro, serval
Nathan Blick, Beedrill, platypus
Meredith Cummerata, Aerodactyl, giraffe
Dante Mayert V, Farfetch'd, kangaroo
Ulysses Mayer II, Jolteon, mouse
Ms. Katelynn Hoeger, Haunter, cockroach
Raina Stanton, Charmeleon, wallaby
Kayla Hickle, Ekans, woodchuck
Wilfred Robel, Dragonair, horse
Marcos Lesch, Clefairy, duck
Dominica Parisian, Ekans, porcupine
Diego Schmidt, Poliwag, wombat
Dorian Glover Sr., Exeggutor, eagle
Kristy Collier, Meowth, mosquito
Hayley Aufderhar, Seel, woodchuck
Johanne McCullough, Arcanine, zebra
