Alonso Baumbach, Geodude, hyena
Adela Carter, Koffing, cattle
Gonzalo Ratke, Primeape, dinosaur
Letisha Durgan, Chansey, snake
Dr. Lashon Ziemann, Zubat, hound
Jesus Cormier, Squirtle, fox
Ji Ziemann IV, Poliwrath, minnow
Lesha VonRueden, Magneton, monkey
Nan Walker, Slowpoke, turtle 
Dr. Helena Stark, Nidoran, ape
Carisa Russel Sr., Shellder, beetle
Antony Block, Victreebel, camel
Izola Rice, Dratini, mosquito
Maegan Schneider, Dragonair, gnu
Lorie Emard, Vileplume, gnu
Roma Turner, Growlithe, sardine
Emilie Hahn, Meowth, duck
Ms. Ernest Strosin, Magikarp, hare
Annette Klein, Paras, armadillo
Alona Kirlin, Hypno, minnow
Mickey Reichel MD, Venomoth, hippopotamus
Slyvia Mayert, Articuno, dinosaur
Berenice Russel, Graveler, mole
Del Adams, Seel, bee
Gene Mitchell, Tentacool, gorilla
Myung Bruen, Mew, spider
Irina Aufderhar, Gastly, toad
Ms. Edna Block, Eevee, cockroach
Odelia Kulas DDS, Machop, ox
Maira Reinger, Rapidash, deer
Donnetta Mitchell I, Ditto, hare
Ula Mertz, Pinsir, fox
Dr. Ramonita Cremin, Meowth, snail
Christena Fay, Rattata, spider
Merrie Fahey, Slowbro, bee
Ira Kunze, Dugtrio, trout
Denny Langworth, Pidgeotto, chimpanzee
Ms. Devon Tromp, Kabuto, ape
Rolland Howe, Chansey, bat
Janyce Cummerata, Nidoran, hippopotamus
Walter McGlynn, Parasect, reindeer
Issac Rice I, Spearow, hippopotamus
Xiomara Bruen, Raichu, chinchilla
Raymond McClure, Charmeleon, wolf
Ava Gutmann, Koffing, cat
Merle Okuneva, Machop, crow
Kindra Romaguera, Poliwrath, cattle
Harley Schuster, Nidorina, llama
Mrs. Phuong Koepp, Ekans, dinosaur
Miss Judson Cartwright, Meowth, crocodile
