Carmelo Veum, Gyarados, termite
Mrs. Zack Hane, Dewgong, goldfish
Taunya Marks, Mew, yak
Hung Gleason, Hitmonchan, jackal
Sueann Heidenreich, Voltorb, hedgehog
Ms. Rolf Ledner, Metapod, bee
Erich Macejkovic, Tangela, cattle
Clarence Pfannerstill, Wartortle, gnat
Vaughn Zulauf, Sandshrew, porpoise
Gerry Medhurst, Venonat, mole
Geraldo Kuhlman DDS, Kingler, hippopotamus
Travis Nienow, Victreebel, hound
Miss Ian Considine, Magnemite, hedgehog
Moises Tromp PhD, Tentacruel, horse
Gerald Schimmel PhD, Venonat, cod
Josiah Gulgowski III, Koffing, squirrel
Perry Cole, Golduck, hippopotamus
Irvin Turner, Tentacool, snake
Gwyn Donnelly, Exeggcute, llama
Michale Marks, Gastly, fish
Miquel Schaden, Slowbro, rabbit
Gladys Herzog Sr., Bellsprout, scorpion
Sang Bergstrom PhD, Tentacool, rat
Zack Keebler, Meowth, jellyfish
Mrs. Delphine Robel, Cubone, elephant
Noella Abbott, Jolteon, tortoise
Wilber Heller, Metapod, impala
Mr. Adrianna Schultz, Spearow, guinea pig
Tiana Littel, Onix, hippopotamus
Mrs. Arnita Hermiston, Paras, gorilla
Stacey Kuvalis, Hitmonchan, cheetah
Donnie Rolfson, Lickitung, seal
Dr. Edison Beatty, Seadra, bee
Nelle Haag, Kabutops, ape
Ka Turner, Jolteon, crocodile
Carroll Jaskolski, Kabuto, ape
Mose Breitenberg, Gastly, louse
Virgilio Dickinson, Jolteon, serval
Lesley Beer, Venusaur, mouse
Nicholle Littel, Vulpix, cheetah
Shane Johnson, Machop, leopard
Frederica Effertz III, Weedle, lion
Gil Halvorson, Marowak, gorilla
Alysha Kessler, Machamp, rat
Christian Breitenberg, Muk, cicada
Leora Hessel, Magmar, fox
Lee Howell, Tauros, wallaby
Jene Lubowitz, Jynx, porcupine
Mrs. Sydney Blanda, Mewtwo, butterfly
Miss Hershel Murphy, Golduck, wildebeest
