Mike Paucek, Beedrill, leopard
Ross King, Golbat, shark
Ms. Jene Wunsch, Kangaskhan, llama
Lyman Schmidt III, Clefable, fox
Mack Leannon, Flareon, koala
Daryl Gorczany, Wartortle, cricket
Ramon Cremin, Pidgey, gorilla
Ms. Casimira Mohr, Eevee, fly
Trinidad Schmitt, Arcanine, dolphin
Mrs. Valerie Watsica, Gengar, llama
Charlott Sporer, Nidorino, bee
Gregorio Daniel, Charizard, llama
Emmie Nikolaus III, Wigglytuff, elk
Joseph Hackett, Charmander, porpoise
Paris Rath, Gloom, baboon
Wilson Dach, Muk, kangaroo
Hong Runolfsson DDS, Alakazam, ape
Christie Wuckert PhD, Electabuzz, mosquito
Mike Funk, Cubone, porcupine
Dr. Jeffry Frami, Tentacruel, yellowjacket
Branden Herman, Ponyta, clam
Kareen Rolfson, Metapod, skunk
Mrs. Xuan Luettgen, Machop, chimpanzee
Virginia Weber, Slowpoke, swan
Mariah Rippin, Tauros, guinea pig
Stanton Gutkowski, Cloyster, wildebeest
Denese Dibbert, Flareon, badger
Pedro Runolfsson, Poliwrath, macaw
Julie Lubowitz, Electabuzz, tortoise
Albertha Skiles, Mr. Mime, gorilla
Mr. Adria Beahan, Machoke, dog
Chase Brown PhD, Rapidash, cheetah
Giovanni Gutmann III, Farfetch'd, rhinoceros
Granville Goyette, Kadabra, porpoise
Miss Faye Bergstrom, Vaporeon, cattle
Mrs. Stan Reichel, Geodude, rabbit
Lurlene Towne, Gastly, mink
Patricia Jones, Fearow, gorilla
Johnie Reichert, Venomoth, hare
Devorah Funk, Vaporeon, gnat
Santos Grady, Koffing, mallard
Quentin Fritsch, Poliwag, yellowjacket
Joaquin Emmerich, Voltorb, sardine
David Blanda, Nidoqueen, dolphin
Miss Tynisha West, Blastoise, hamster
Raymundo Bogan Sr., Horsea, hedgehog
Edmond O'Hara, Arbok, raccoon
Emilio Hoppe III, Victreebel, manatee
Tifany Runolfsson Sr., Machop, sheep
Jarred Emard III, Gastly, dog
