Jarrett Keeling, Golduck, swan
Lahoma Bergstrom, Vaporeon, llama
Shanae Schumm III, Ivysaur, gorilla
Pierre Lakin, Magnemite, frog
Nicholle Ledner III, Lickitung, gnat
Freda Kuvalis, Victreebel, wolf
Adam Kulas, Jynx, eel
Jessie Wiegand, Mr. Mime, dinosaur
Beata Prohaska, Hitmonchan, toad
Chas Monahan, Rapidash, grasshopper
Odell Jenkins, Machamp, badger
Sunny Windler, Staryu, wallaby
Jeremy Sauer, Tentacruel, marten
Dana Miller, Haunter, raccoon
Risa Schaden, Venomoth, hippopotamus
Ja Frami, Mew, wolf
Mrs. Conrad Blanda, Scyther, giraffe
Lashawnda Gaylord, Mew, mole
Lakendra VonRueden, Mewtwo, monkey
Keven Halvorson DVM, Muk, muskrat
Giovanni Moen V, Mewtwo, ape
Willie Bednar I, Hitmonchan, eel
Mr. Gregory Lakin, Jynx, minnow
Roxanna Kshlerin, Psyduck, cockroach
Celinda Kautzer, Venusaur, oyster
Weston Lueilwitz, Tauros, eel
Merideth Kris, Moltres, moose
Tamera Rowe, Poliwag, fish
Jacob Bernhard, Vileplume, ape
Imelda Robel, Mankey, hamster
Mr. Gaylord Hirthe, Beedrill, buffalo
Treasa Wilderman, Tentacruel, sheep
Dena Bergnaum DVM, Snorlax, elk
Ms. Tanika Bashirian, Farfetch'd, chinchilla
Leida Johns, Machop, locust
Tyrone Towne, Magnemite, hound
Lawerence Pollich, Sandshrew, cockroach
Effie Sipes, Rhyhorn, weasel
Gordon Moore, Weedle, manatee
Lyndon Marquardt I, Gyarados, zebra
Demetra Kulas, Tentacool, hound
Mr. Rozanne Ebert, Mr. Mime, fish
Dr. Leif Cole, Pinsir, bee
Ms. Joi Jaskolski, Persian, impala
Celine Raynor Jr., Kadabra, wombat
Agueda Blick, Pinsir, crow
Miss Rodney Brakus, Seadra, lizard
Miquel Greenholt DDS, Psyduck, otter
Katharyn Windler PhD, Magneton, manatee
Epifania Roberts, Electrode, ant
