Reanna Champlin, Rapidash, pug
Zackary Fritsch, Chansey, hippopotamus
Lupe Marvin IV, Venusaur, eel
Miss Marjory Weissnat, Vileplume, wolf
Susy Moen, Meowth, bear
Stanley Braun DDS, Poliwhirl, grasshopper
Patricia Torphy, Mankey, leopard
Jed Collins, Graveler, butterfly
Racheal Mann, Seadra, sea lion
Shirley Bernier, Machamp, ape
Wilmer Romaguera, Rattata, rhinoceros
Leatrice Zieme, Kangaskhan, rat
Chanelle Stehr, Kingler, guinea pig
Charla Ferry, Magneton, cockroach
Andreas Douglas Sr., Exeggutor, fish
Edda Luettgen, Blastoise, dog
Dr. Nikia Jacobs, Omanyte, seal
Adelaide Dare, Raticate, cat
Cristie Harber, Grimer, mouse
Ayanna Lind, Butterfree, mallard
Wen Runte, Starmie, cod
Mrs. Margarito Goodwin, Poliwrath, shark
Britt Pfeffer, Clefairy, grasshopper
Sherill Hane, Rapidash, rhinoceros
Arnold Parker, Dratini, raccoon
Jeffrey Hickle, Dewgong, cicada
Adria Marks, Dodrio, chinchilla
Constance Skiles, Cubone, monkey
Mr. Violette Ernser, Bulbasaur, mole
Thad Bednar, Pidgeot, hound
Orlando Brakus, Geodude, wolf
Stanton Schiller, Doduo, wildebeest
Rubie Kertzmann, Dratini, hornet
Genaro Hahn, Rattata, bee
Terrence Collins, Cloyster, raven
Cyndi Hayes, Eevee, badger
Connie Wintheiser, Mankey, lion
Hipolito Mayer, Graveler, ox
Kimberly Frami, Weepinbell, wolf
Ms. Krystin Ankunding, Jigglypuff, crow
Dana Toy, Seaking, kangaroo
Elidia Aufderhar, Zubat, tortoise
Issac Rogahn, Chansey, weasel
Anibal Satterfield Jr., Nidoran, porpoise
Dr. Lyndon Schinner, Haunter, hornet
Abram Hammes DDS, Farfetch'd, elephant
Dr. Lexie Kovacek, Doduo, worm
Mrs. Miyoko Mayer, Blastoise, impala
Major Emard, Slowpoke, butterfly
Ms. Sam Huels, Blastoise, porcupine
