Dusty Wunsch, Drowzee, goldfish
Cassandra Nolan, Caterpie, hippopotamus
Christiana Cremin, Mew, skunk
Roma Auer, Kabuto, rabbit
Malia Koss V, Spearow, cod
Andres Ondricka, Vileplume, cricket
Roosevelt Schmeler, Kakuna, serval
Marianela Ratke Jr., Gastly, yellowjacket
Alexis Sawayn, Seadra, kangaroo
Neida Abernathy, Geodude, armadillo
Miss Diego Barton, Seaking, trout
Goldie Brekke, Lapras, grasshopper
Rigoberto Haag, Pidgeotto, seal
Elijah Lemke V, Abra, alpaca
Basilia Kassulke, Nidoran, whale
Denis Jones, Squirtle, fish
Arlie Blick, Onix, jellyfish
Delora Nader DDS, Geodude, fox
Rodney Weber, Snorlax, cattle
Ali Maggio, Gloom, impala
Devona Howe Sr., Tentacruel, leopard
Concha Kemmer, Gloom, beetle
Boyce Ritchie, Venonat, ferret
Markus Conn, Alakazam, wolf
Mrs. Kennith Bernier, Aerodactyl, lion
Jimmie Kunde, Mew, beaver
Dewayne Ryan, Wartortle, crocodile
Janine Osinski, Marowak, butterfly
Mrs. Reynaldo Hermann, Electrode, sea lion
Clementine Boyer, Flareon, goldfish
Katharina Sauer, Poliwhirl, porpoise
Launa Koss, Metapod, mole
Alejandro Marquardt, Koffing, coyote
Allen Turcotte, Gyarados, goose
Deshawn Predovic, Venusaur, toad
Lance Franecki Jr., Slowbro, jackal
Mrs. Brock Kunde, Haunter, lion
Jerrold Kilback V, Farfetch'd, swan
Ms. Derick Howell, Kangaskhan, gerbil
Carmen Reichel, Kabutops, dolphin
Mr. Luana Wolff, Starmie, mouse
Jerry Cummerata, Haunter, fish
Vernetta Monahan, Venusaur, rat
Kimberli Leuschke, Gastly, gnu
Karima Oberbrunner, Dugtrio, alpaca
Pansy Hickle, Exeggcute, wasp
Cyril Hintz, Koffing, frog
Mrs. Jerrell McCullough, Venomoth, seal
Alexis Spinka, Tentacool, walrus
Jame Halvorson, Pinsir, clam
