Jeane Bayer, Oddish, koala
Olen Windler IV, Squirtle, wolf
Johnie Cartwright, Nidorino, monkey
An Ferry, Tangela, elephant
Lala Feeney, Graveler, dolphin
Adah Parisian II, Venusaur, trout
Emmitt Osinski MD, Gyarados, hyena
Mr. Jerald Metz, Bulbasaur, hippopotamus
Jerica Schulist, Ninetales, marten
Isaias Jones, Koffing, whale
Efren Wintheiser Jr., Kadabra, badger
Nakia Heathcote, Primeape, mosquito
Britt Lowe, Kabutops, whale
Vannessa Hegmann, Exeggcute, badger
January Swaniawski, Meowth, llama
Ms. Bennett Durgan, Pidgey, termite
Joey Wiza III, Cloyster, monkey
Haydee Brown, Venusaur, cattle
Malcolm Funk, Rattata, snake
Carter Gaylord II, Wigglytuff, donkey
Rodney Mayer, Charizard, weasel
Mrs. Miguel O'Hara, Jynx, elk
Rosana Schumm MD, Vulpix, cattle
Dani Roberts, Snorlax, fly
Tandy Stark, Jynx, mammoth
Vera Nicolas PhD, Gyarados, louse
Dominic Simonis, Kakuna, turtle 
Ms. Aide Wolf, Poliwhirl, zebra
Celestine Hackett, Jigglypuff, turtle 
Mrs. Melda Kohler, Golduck, yak
Rocco Marks, Venomoth, reindeer
Ehtel Lynch, Pikachu, sea lion
Reginald Swift, Electabuzz, alligator
Roscoe Rice Jr., Bellsprout, marten
Jessie Bailey, Koffing, skunk
Mr. Jackie Turner, Sandshrew, prairie dog
Norberto Wiza, Machop, panda
Guillermo Thompson, Tentacruel, crow
Fred Kirlin, Tauros, mouse
Nicolas Schumm, Hitmonchan, guinea pig
Chae Farrell, Haunter, prairie dog
Stacey Hackett, Golduck, salmon
Arthur Hermann, Pidgeot, skunk
Monroe Kertzmann, Electabuzz, hyena
Bennie Paucek, Gengar, elephant
Ute Mosciski, Zubat, crocodile
Dr. Markus Emard, Arbok, muskrat
Olen Bogan I, Venusaur, mule
Gabrielle Lemke, Dragonite, locust
Ashli Cummerata, Arbok, hamster
