Danielle Green, Machamp, wasp
Lamonica Runolfsdottir, Ekans, rabbit
Ms. Victor Zemlak, Nidoking, cockroach
Rafaela Jacobson Jr., Squirtle, caribou
Francoise Wiza, Blastoise, wallaby
Ms. Glen O'Connell, Kabuto, alpaca
Garry Deckow, Dugtrio, termite
Ross Osinski, Zapdos, squirrel
Stan Powlowski, Wartortle, butterfly
Edna Nikolaus, Nidorino, mosquito
Ms. Florentino Pacocha, Raticate, manatee
Randy McClure, Rhydon, sea lion
Laverne Stracke, Cloyster, cricket
Man Schmitt, Seaking, porpoise
Marg Lubowitz, Kadabra, trout
Renda Graham V, Jolteon, salmon
Patrick Sanford, Pikachu, fish
Delsie Batz, Vaporeon, raccoon
Nisha Bernier, Slowpoke, spider
Lynn Funk, Haunter, goldfish
Karole O'Hara DVM, Zapdos, marten
Pamella Moore, Grimer, llama
Avery Heaney IV, Alakazam, mule
Agatha Blanda V, Golbat, cricket
Kam Morar, Butterfree, coyote
Pat Zemlak, Mankey, beaver
Solomon Torphy, Starmie, tortoise
Tiera Orn Sr., Ekans, muskrat
Cammy Hagenes, Starmie, mink
Emiko Vandervort, Poliwag, seal
Miss Wm Price, Kabuto, sardine
Miss Gwen Wiegand, Doduo, cat
Jefferson Volkman, Mew, minnow
Khadijah Conn, Ekans, crocodile
Janel Kohler, Magikarp, gorilla
Deloise Lubowitz, Machoke, hedgehog
Chuck Hoppe, Nidoran, pig
Rosia Rice, Ditto, eagle
Hiram Ernser, Vaporeon, jellyfish
Mr. Joanie Green, Muk, alligator
Lia Homenick II, Meowth, impala
Ruthe Daugherty, Kabutops, crow
Mrs. Hedy Friesen, Weezing, sheep
Stephanie Dicki, Farfetch'd, herring
Nida Kemmer, Vaporeon, skunk
Aracelis Torphy, Electrode, guinea pig
Horacio Bernier, Seadra, cod
Brady Bergnaum, Lapras, prairie dog
Mr. Jenine Schroeder, Arcanine, sheep
Alicia Turcotte, Meowth, grasshopper
