Alfonso Johnston, Rapidash, locust
Beulah Littel, Abra, fox
Leonie Rosenbaum V, Parasect, rat
Jess O'Conner III, Drowzee, tortoise
Elanor Blick II, Seadra, weasel
Sima Hintz, Nidoran, woodchuck
Isaias Sawayn, Machoke, cicada
Granville Purdy III, Nidoking, alpaca
Carl Bartoletti, Jigglypuff, fox
Mr. Billie White, Slowpoke, worm
Ariel Jaskolski, Parasect, ape
Ernestina Hoeger, Nidorino, fly
Bonny Kuphal, Exeggutor, sardine
Dr. Elbert Luettgen, Hitmonlee, chinchilla
Doug Bode, Mewtwo, crocodile
Rhett Price, Butterfree, kangaroo
Ranae Nienow, Spearow, bee
Cordelia Lehner, Slowbro, crab
Christi Ferry, Pidgey, hornet
Mr. Selene Johnson, Sandshrew, seal
Dean Kshlerin, Kangaskhan, cockroach
Mr. Xiomara Strosin, Golduck, cheetah
Santos Huels, Arcanine, baboon
Mohamed Lakin, Golbat, mosquito
Julio Rowe, Zapdos, dolphin
Tania Pfannerstill, Beedrill, wildebeest
Samella Rempel MD, Magmar, wasp
Bella Gleichner, Caterpie, moose
Fallon Mohr Sr., Vileplume, leopard
Elmer Schuster V, Cubone, wildebeest
Ms. Jan Abernathy, Rapidash, yellowjacket
Rosalinda Kiehn, Persian, hamster
Mariella Wiegand, Lickitung, badger
Mrs. Napoleon Schmidt, Clefairy, fly
Mrs. Rayford Walter, Primeape, platypus
Traci Haag PhD, Aerodactyl, gerbil
Eugenie Frami MD, Golduck, beetle
Ms. Andrew Hoppe, Jigglypuff, cicada
Beau Wiegand V, Blastoise, marten
Rikki Blanda II, Exeggcute, wombat
Nancee Hoppe, Machamp, rhinoceros
Tracey Bernhard, Grimer, turtle 
Josie Windler, Blastoise, crow
Dion Luettgen, Machoke, locust
Miss Corey Parisian, Poliwag, wasp
Johnsie Lueilwitz Sr., Chansey, whale
Venus Cummerata, Victreebel, donkey
Shelli Mertz, Goldeen, horse
Tu Rau, Farfetch'd, cat
Ms. Lon Vandervort, Vileplume, monkey
