Jae Hessel, Geodude, badger
Sebastian Nienow, Omanyte, frog
Mrs. Ricky Yost, Onix, hamster
Marc Wehner, Pikachu, jellyfish
Scottie Lemke, Caterpie, serval
Miss Buddy Conn, Diglett, giraffe
Dr. Shanel Russel, Jigglypuff, swan
America King, Tentacool, termite
Araceli Botsford, Raichu, wildebeest
Miss Grazyna Kuhic, Magmar, beaver
Maureen Ortiz, Zapdos, ferret
Joye Robel, Wigglytuff, clam
Sina Kozey I, Mewtwo, rhinoceros
Miss Janina Kreiger, Rattata, jellyfish
Delphia Halvorson, Kabutops, alligator
Viki Dickinson IV, Psyduck, scorpion
Gaylord Shields Sr., Nidorino, frog
Dagmar Wolff, Sandslash, fox
Valentine Herzog, Kakuna, snake
Mr. Jed Hahn, Eevee, lizard
Dessie Bartell, Blastoise, frog
Li Skiles, Tauros, mule
Terence Quigley, Zubat, llama
Dwight Dooley, Dugtrio, mammoth
Bernetta Schultz, Pidgeot, mammoth
Conrad Lakin, Seaking, ox
Robbie Tillman, Blastoise, hound
Romeo Carroll, Graveler, porcupine
Miss Allen Runolfsdottir, Kingler, donkey
Zenobia Reynolds, Eevee, llama
Jerold Lockman, Rapidash, crocodile
Randi Tillman, Horsea, cat
Gerald Gleichner, Growlithe, spider
Cliff Bartoletti, Nidoran, deer
Ms. Racheal Kunde, Haunter, dolphin
Tu Graham, Caterpie, tiger
Dylan Buckridge, Drowzee, donkey
Shon Strosin, Kadabra, muskrat
Heriberto Fahey, Mew, gorilla
Brett Ryan, Golduck, frog
Hayden Mohr V, Mr. Mime, wombat
Wade Macejkovic DVM, Caterpie, panda
Krystle Kub, Weedle, walrus
Douglass Rempel III, Nidoking, caribou
Ms. Catherine Watsica, Electabuzz, mallard
Michelle Reilly PhD, Vaporeon, sardine
Mrs. Sommer Lang, Kangaskhan, giraffe
Tiera Ruecker, Machop, ferret
Caitlyn Murray, Krabby, ox
Claribel Schowalter, Ponyta, badger
