Rudy Shields Jr., Venusaur, fish
Burl Kohler, Chansey, frog
Bonny Kertzmann, Mankey, porcupine
Kyong O'Conner, Farfetch'd, zebra
Mrs. Elmo Flatley, Meowth, hound
Gregory Brekke, Nidorina, otter
Mathew Turcotte V, Dragonite, goose
Daniele Reichel PhD, Paras, bat
Anitra Klocko, Kadabra, baboon
Boyce Beahan, Seel, fish
Louann Hettinger, Tauros, alligator
Antonio Breitenberg, Dragonair, otter
Andre Rowe, Bellsprout, jellyfish
Cameron Mann, Moltres, snake
Kristal Buckridge, Nidorina, tiger
Spencer Muller, Clefable, turtle 
Ms. Cristopher Marvin, Nidoran, alligator
Sha Block, Sandshrew, yak
Dylan Gleichner, Moltres, crocodile
Jessia Swaniawski, Slowbro, ape
Mohammad Stroman, Magneton, prairie dog
Magdalena Breitenberg, Staryu, koala
Toshia Block, Tangela, eel
Steven Hammes, Aerodactyl, fish
Renna Kris Sr., Metapod, hedgehog
Ms. Nila Walker, Squirtle, cicada
Ms. Lane Rogahn, Venomoth, cheetah
Hien Reinger, Meowth, mole
Kyra Monahan IV, Rhyhorn, camel
Noah Orn, Scyther, dolphin
Joette Adams, Geodude, water buffalo
Brigitte Schneider, Rhydon, walrus
Johnnie Kuhic, Doduo, reindeer
Jerome Orn, Pidgeot, herring
Kanisha Mills, Beedrill, caribou
Liane Rosenbaum, Ditto, cattle
Corinna Hodkiewicz PhD, Seadra, gorilla
Mrs. Coletta O'Connell, Abra, serval
Haywood Roob, Articuno, mosquito
Dr. Robin Raynor, Magnemite, cricket
Pricilla Johnson, Kabuto, goat
Boyce Dach, Pidgeotto, cat
Dannette Lind, Ponyta, horse
Rikki Terry, Exeggutor, wombat
Mr. Armando Hudson, Nidoking, goose
Iraida Kuhn, Blastoise, squirrel
Mr. Elfrieda O'Keefe, Seaking, goose
Harriette Jacobson, Kabutops, cheetah
Mervin Lebsack, Horsea, cricket
Myrtie Weissnat, Clefable, gnu
