Miss Nicki Legros, Jigglypuff, weasel
Nicholas McClure, Nidoking, swan
Shaquita Hammes, Gengar, sardine
Renata Bernhard PhD, Persian, dog
Teodora Mante I, Weepinbell, snail
Miss Cindy Fadel, Dewgong, giraffe
Gustavo Crooks V, Hitmonlee, turtle 
Esperanza Torp, Weedle, rabbit
Jeffry Crooks, Horsea, turtle 
Steve Nader, Charmander, skunk
Kylee Schmeler, Omanyte, locust
Reina Moen, Muk, hedgehog
Mrs. Drew Krajcik, Seel, eel
Quinn Carter, Persian, porcupine
Laurine Kunze Jr., Oddish, woodchuck
Rick Lemke, Pikachu, panda
Mrs. Johnie Gleason, Lapras, rat
Benjamin Shanahan, Nidorino, rabbit
Ed Rice, Jynx, herring
Milly Block, Magnemite, cicada
Rosario Vandervort, Mewtwo, gnu
Ellan Kuhn PhD, Magmar, cockroach
Herschel Boyle, Nidorino, spider
Desmond Willms, Mewtwo, platypus
Emanuel White, Golem, macaw
Sammy Nader, Arcanine, cheetah
Shawn Tillman, Poliwhirl, crocodile
Kindra Mante Sr., Magneton, otter
Marian Carter, Parasect, fly
Chelsey Reinger, Slowpoke, wasp
Henrietta Willms, Voltorb, deer
Valorie Goyette MD, Koffing, horse
Renae Koelpin PhD, Magneton, cockroach
Mr. Sammy White, Graveler, eel
Ava Hilll, Mewtwo, badger
Mickey Cummings, Seadra, jellyfish
Maple Kling, Zubat, herring
Valrie Fisher, Electabuzz, wolf
Jan Spencer I, Weedle, raccoon
Ms. Raye Leannon, Goldeen, reindeer
Ms. Ma Hickle, Arbok, caribou
Lurline Connelly, Mewtwo, baboon
Salvatore Kreiger, Nidoking, gnu
Gwyn Casper, Koffing, ferret
Alejandro Wolff, Wartortle, clam
Felica Frami, Gloom, hedgehog
Mrs. Clare Collins, Tangela, termite
Francis Bailey Jr., Electrode, salmon
Soila Dibbert, Kakuna, snake
Reggie Schuppe, Magmar, antelope
