Carmen McCullough, Onix, duck
Ashley Hartmann PhD, Electrode, seal
Carroll Powlowski, Spearow, herring
Candra Stehr III, Snorlax, panda
Gilbert Heidenreich, Clefairy, snake
Ivette Renner, Nidorino, jellyfish
Lyndon Hegmann, Slowbro, whale
Keenan Hills, Nidoking, wasp
Kenya Rogahn, Porygon, alpaca
Shay Schuster III, Metapod, prairie dog
Jami Heaney MD, Machop, mosquito
Alida Lebsack DVM, Machoke, platypus
Lynell Jacobson, Slowpoke, platypus
Chase Jast, Exeggutor, monkey
Ivan Boehm, Raticate, hippopotamus
Salvador Harvey, Tentacruel, porcupine
Man Thiel, Golem, alpaca
Andy McClure, Kangaskhan, trout
Jody Kutch, Zubat, woodchuck
Lisabeth Stamm, Pidgey, giraffe
Walker Hilll, Chansey, gorilla
Bradford Auer, Vulpix, salmon
Dewey Stiedemann, Nidorina, antelope
Napoleon Rutherford, Exeggcute, swan
Delmer Hodkiewicz IV, Zapdos, manatee
Lee Satterfield V, Growlithe, leopard
Charles Walker, Victreebel, bat
Hershel Schmitt III, Nidoking, hamster
Marcie Gleichner, Weedle, beaver
Reynaldo Kutch, Caterpie, wolf
Nila Klein, Venomoth, weasel
Nakia Parker, Omastar, antelope
Gracie Nienow PhD, Dodrio, mosquito
Jazmine Oberbrunner, Butterfree, elk
Alanna Windler, Vaporeon, wasp
Lauretta McGlynn, Primeape, cod
Blanca Bruen, Persian, salmon
Tiana Murazik, Flareon, elephant
Jame Herzog, Marowak, rhinoceros
Colton Durgan, Articuno, tortoise
Marcelle Champlin, Magnemite, caribou
Denny Grady Jr., Pikachu, worm
Hugh Block, Raichu, buffalo
Corliss Dietrich I, Zapdos, jackal
Miss Desmond Schumm, Clefairy, walrus
Miss Bryant Runolfsdottir, Lapras, raccoon
Burl Frami, Venusaur, porcupine
Maren Bradtke, Golem, hippopotamus
Rex Bernier, Kingler, muskrat
Miss Sherwood Stroman, Vaporeon, badger
