Numbers Robel, Snorlax, hyena
Jesusita Harris, Meowth, otter
Ronda Gislason, Raichu, kangaroo
Marhta Douglas, Diglett, ant
Edwin Hilpert V, Charmander, snake
Gemma Smitham, Snorlax, llama
Gilberto Schultz, Tentacruel, cat
Houston Marks, Nidoran, bat
Ms. Lauretta Mills, Magmar, locust
Minerva Bosco, Gloom, cod
Alonso Hills, Machamp, zebra
Miss Luana Emmerich, Sandshrew, cicada
Ms. Warren Thiel, Lapras, rat
Mr. Chloe Kulas, Vileplume, yellowjacket
Rob Bogan, Snorlax, badger
Genevieve Lindgren, Exeggcute, deer
Lucienne Gislason, Farfetch'd, moose
Patricia Kulas III, Electabuzz, buffalo
Frances Bayer, Arbok, hedgehog
Ronald Boyle, Arcanine, beaver
Meggan Ritchie, Wartortle, whale
Ernestina Torphy, Weedle, alpaca
Ms. Julia Deckow, Golbat, dog
Kymberly Bergnaum, Venomoth, macaw
Kaci Herman Jr., Electrode, scorpion
Forest Crooks I, Lickitung, cheetah
Mrs. Antoine Anderson, Marowak, cricket
Tula Gibson, Charmeleon, seal
Cecille Reichel, Slowbro, crow
Leslie Schmitt, Metapod, baboon
Robin Osinski, Metapod, hare
Roland Langosh, Rhyhorn, ferret
Tamatha Rohan, Magnemite, jellyfish
Kristofer MacGyver, Doduo, raccoon
Brett Runte, Parasect, macaw
Dr. Drew Jacobs, Rapidash, shark
Laurine Feil Jr., Pidgeotto, baboon
Gerard Kuhic I, Victreebel, eel
Mrs. Nolan Abshire, Caterpie, ferret
Man Toy, Golem, snake
Lino Bahringer, Metapod, buffalo
Phyliss Stokes, Squirtle, monkey
Shante Schmeler, Ninetales, chimpanzee
Heath McLaughlin IV, Electabuzz, baboon
Alia Green, Gloom, prairie dog
Antonietta Marvin, Tentacool, fish
Refugio Bartoletti, Articuno, hedgehog
Meryl Schaefer, Dragonite, manatee
Mitch King, Victreebel, cod
Julio Rutherford DVM, Weezing, trout
