Calista Lockman I, Dewgong, otter
Reggie Roberts, Pidgeot, woodchuck
Lindsey Terry, Drowzee, pig
Ms. Wyatt Jaskolski, Tauros, coyote
Vince Raynor Sr., Wartortle, rabbit
Kerrie Wintheiser IV, Meowth, mole
Krishna Herzog, Tentacool, cockroach
Clemmie D'Amore, Clefairy, swan
Aliza Mueller, Abra, rat
Inger Rowe, Vileplume, hamster
Clint Cole III, Ivysaur, wolf
Domingo Mitchell, Eevee, deer
Jamika VonRueden, Vaporeon, rat
Thomas Wehner, Cubone, panda
Angie Hirthe, Tentacruel, mule
Miss Francis Altenwerth, Golbat, dog
Sha Donnelly, Oddish, lion
Robert Wyman Jr., Gastly, raccoon
Kristopher Haag, Starmie, cicada
Ms. Alane Muller, Venomoth, clam
Kiara Kertzmann, Kangaskhan, bear
Leanne Ondricka Jr., Primeape, herring
Ardis Keebler, Jynx, marten
Miss Jennette D'Amore, Raticate, worm
Arlie Aufderhar III, Slowpoke, manatee
Letisha Runte II, Dragonite, mole
Val Wehner, Nidoqueen, raccoon
Numbers Daugherty, Sandslash, ant
Mee Adams, Kakuna, ox
Dr. Orlando Jacobs, Machoke, donkey
Catrice Harris, Gengar, oyster
Ms. Clifton Stehr, Clefable, donkey
Ping Nitzsche, Kakuna, armadillo
Bernardo Prohaska, Ponyta, eagle
Allen Schneider II, Beedrill, mink
Florencio Tillman V, Hitmonlee, squirrel
Terrell Kessler, Squirtle, tortoise
Randolph Cummerata, Dodrio, ox
Mitch Hammes, Caterpie, cockroach
Darrick Hansen, Ponyta, snake
Cherelle Roberts, Electabuzz, macaw
Joella Deckow, Snorlax, fly
Ms. Bennett Smith, Seadra, swan
Miss Royce Dare, Chansey, wildebeest
Merlin Hyatt, Pidgeot, woodchuck
Elliot Mayer, Rapidash, mosquito
Valeri Auer, Ivysaur, fish
Dan Volkman, Aerodactyl, mink
Kylie Bernhard, Machoke, bee
Doria Cormier, Drowzee, wolf
