Judie Johnston, Poliwrath, moose
Leandro Lueilwitz, Kangaskhan, giraffe
Bebe Weber, Nidoran, deer
Harold Baumbach, Weezing, fox
Ms. Herb Pfeffer, Butterfree, impala
Natalya Reinger Sr., Sandshrew, wasp
Lindsey Hoppe, Flareon, cockroach
Roger Welch, Dewgong, goose
Genia Hane, Nidoqueen, camel
Elisha Schmitt Jr., Gastly, impala
Dominique Smith, Ponyta, rabbit
Kali Kuhn III, Dewgong, gorilla
Taylor Gottlieb, Graveler, elk
Mr. Leanora Lowe, Pinsir, cicada
Xiomara Reichert DVM, Ekans, yak
Kathlyn Lueilwitz, Poliwag, minnow
Rex Klocko, Seaking, porcupine
Daysi Schroeder, Seadra, horse
Ivan Kulas, Tentacruel, termite
Shawnee Quitzon, Marowak, wolf
Aliza Conn, Kingler, caribou
Ruben Effertz, Dratini, marten
Demetrice Mills, Magnemite, prairie dog
Mrs. Greg Hettinger, Farfetch'd, toad
Krystina Dickens, Porygon, bat
Jaqueline Hartmann, Rattata, lion
Natacha McGlynn, Lapras, squirrel
Bert Lebsack, Hitmonchan, bear
Lelah Larkin, Growlithe, zebra
Emmett Fritsch, Hypno, cricket
Elliot Bahringer, Omanyte, walrus
Madalene Rath PhD, Flareon, dog
Maximo Howell, Nidoking, bee
Sha Skiles, Jolteon, hyena
Karole Bode, Bellsprout, hippopotamus
Bart Jerde, Hitmonlee, gerbil
Alvaro Von, Muk, weasel
Kati Larson, Rattata, swan
Rich Reinger, Jolteon, tiger
Mrs. Ellsworth Powlowski, Nidoqueen, deer
Mitch Fay I, Charizard, gerbil
Sandra Ortiz, Rapidash, ant
Leslee Shanahan, Jigglypuff, locust
Viviana Dietrich, Sandshrew, jackal
Joaquina Jones, Cubone, mole
Williemae Jacobi, Jigglypuff, gerbil
Latashia Osinski DDS, Mr. Mime, pug
Perry Bosco, Sandslash, otter
Angelika Nolan II, Caterpie, weasel
Vada Walsh DVM, Ekans, gorilla
