Ms. Jody Will, Slowbro, ferret
Dr. Leora Graham, Starmie, serval
Clemente Kilback, Weedle, salmon
Silas Considine IV, Jolteon, skunk
Mr. Rubin Orn, Victreebel, fox
Augustus Koepp, Arcanine, bee
Dr. Adolph Russel, Pikachu, weasel
Hung Nolan, Nidoran, gorilla
Dr. Saul Cruickshank, Gastly, yak
Porter Schinner, Cubone, mammoth
Tamica Willms Jr., Hitmonlee, armadillo
Edna Ledner Sr., Goldeen, elephant
Jayson Hodkiewicz, Slowbro, fish
Mrs. Tisa Stark, Kabutops, bear
Michale Franecki, Mankey, crab
Shannon Kessler, Moltres, cockroach
Long Bauch, Zubat, jackal
Elvira Schulist, Mankey, squirrel
Angela Muller, Vaporeon, platypus
Stacey Kutch, Eevee, reindeer
Luke Hartmann PhD, Flareon, wildebeest
Thurman Ziemann, Abra, tiger
Tyree Dicki, Jolteon, eagle
Leopoldo Yundt, Clefairy, grasshopper
Theron Conroy, Kingler, whale
Terrance Grimes, Venonat, alpaca
Kenda Howe, Diglett, hare
Santiago Doyle, Primeape, giraffe
Jenna Grimes, Weedle, ferret
Thanh Brekke, Gyarados, crow
Ilona Bruen, Diglett, frog
Thad Haag, Butterfree, woodchuck
Mr. Warner Wilderman, Gengar, goldfish
Esta Hirthe DDS, Muk, horse
Henry Reilly, Hypno, kangaroo
Miss Claudine Rice, Muk, wolf
Garnet Hudson, Venusaur, platypus
Robt Mills, Exeggcute, mule
Dr. Miguelina Hermiston, Charmeleon, mammoth
Corey Schuster MD, Oddish, moose
Kenda Bogisich, Weezing, marten
Patricia McClure, Gastly, cat
Sacha Tromp, Oddish, minnow
Joanie Schulist, Pinsir, moose
Kristel Kris Sr., Muk, hedgehog
Lettie Dickens, Butterfree, mosquito
Hilario Orn, Flareon, squirrel
Shauna Bradtke, Wigglytuff, ant
Ollie Graham, Krabby, hound
Arturo Mohr, Cloyster, cheetah
