Mittie Herzog, Mr. Mime, zebra
Deandre Dibbert, Marowak, turtle 
Nathaniel Turcotte, Nidorino, gnu
Lavette Nienow, Hitmonchan, otter
Cyndi Padberg, Nidoran, dog
Tim O'Connell V, Arcanine, skunk
Ms. Traci Gutmann, Butterfree, panda
Elliot Russel III, Flareon, hedgehog
Ingrid Dickinson II, Tangela, whale
Ms. Britta Walsh, Growlithe, eel
Dr. Margarette Turner, Oddish, whale
Francis Howell, Gyarados, guinea pig
Miss Clark Cummerata, Bulbasaur, ferret
Melinda Weissnat, Nidoqueen, bat
Angelo Terry, Hitmonchan, lizard
Anamaria Towne, Dragonair, chimpanzee
Faith Dicki, Pidgey, fly
Jeremy Rempel, Magikarp, sardine
Jacinda Lemke, Chansey, trout
Deann Turner, Chansey, snail
Donya Maggio, Rattata, salmon
Mr. Richie Crooks, Pidgey, weasel
Rosaria Kohler, Nidorino, hippopotamus
Jeffery Hilpert, Dratini, cricket
Elyse Buckridge, Vulpix, water buffalo
Bennie Reichel, Ponyta, buffalo
Les Crist, Dewgong, impala
Dr. Blaine Green, Weepinbell, cicada
Dr. Connie Balistreri, Jigglypuff, hippopotamus
Luis Oberbrunner Sr., Dragonair, badger
Wilbert Beier, Drowzee, cicada
Mr. Rayford Crist, Tentacool, scorpion
Mr. Stuart Dickens, Omastar, louse
Brooks Collier, Wigglytuff, macaw
Mr. Jefferey Jast, Gengar, snail
Cortney Wehner, Zapdos, duck
Laurie Morar II, Exeggcute, louse
Leon Lind, Paras, bee
Neville Auer, Growlithe, water buffalo
Gaye Rau DDS, Slowbro, fox
Dr. Christi Buckridge, Bulbasaur, beaver
Adolfo Von, Kadabra, impala
Vena Lindgren, Nidoran, pug
Mr. Vertie Nolan, Pikachu, otter
Carey Koelpin Jr., Kabutops, hare
Wilma Kessler, Clefairy, crow
Gale Hermiston, Tentacool, grasshopper
Gale Bergstrom, Zubat, gnu
Etta Bernhard MD, Weezing, beaver
Crista Thiel, Slowbro, pig
