Ms. Augusta Satterfield, Ivysaur, buffalo
Nieves Raynor, Magneton, elk
Dalton Sauer, Tentacruel, baboon
Brent Green, Dugtrio, hedgehog
Betsey Schinner, Dodrio, platypus
Jacinto Harber, Omanyte, mole
Kia Osinski, Lickitung, monkey
Ms. Tereasa Torphy, Hitmonlee, rat
Flora Kuhn, Hitmonlee, manatee
Sonia Schumm, Dewgong, kangaroo
Jessie Kozey V, Clefairy, cat
Vernetta Cartwright III, Tangela, dolphin
Phylis Wintheiser, Magnemite, bear
Miss Chanda Mraz, Rattata, raccoon
Daron Hilpert, Primeape, lizard
Milton Grady, Nidoqueen, muskrat
Johnette Boyer, Dragonite, guinea pig
Mrs. Terry Hauck, Nidoking, reindeer
Emmett Rice, Rhyhorn, alligator
Hortensia Konopelski, Jolteon, muskrat
Dr. Coralee Fay, Diglett, hippopotamus
Alfonzo Runte, Haunter, deer
Mrs. Duncan Fahey, Blastoise, weasel
Helena Barrows, Abra, prairie dog
Precious Bode, Golbat, kangaroo
Ernesto Walsh, Rhydon, alpaca
Mr. Francis Runolfsdottir, Vulpix, alpaca
Bill Cormier II, Gastly, pug
Hyman Stark, Vaporeon, ape
Dr. Mallory Lowe, Krabby, eel
Mrs. Eugene Dach, Tangela, beaver
Geraldine Toy I, Zapdos, yellowjacket
Ms. Jose Rodriguez, Magikarp, raven
Kira Christiansen, Dragonair, seal
Robin Waters, Gloom, goose
Maria Murphy, Pinsir, cricket
Mr. Levi Thiel, Weedle, wildebeest
Maxima Weber, Snorlax, cod
Margarito Goldner, Sandslash, bear
Hiram Grimes, Alakazam, worm
Kaitlin Homenick, Persian, fly
Alva Williamson, Gloom, herring
Dr. Jaclyn Christiansen, Koffing, bear
Bernardo Schmidt I, Nidoran, mule
Wilmer Sipes, Dragonite, porcupine
Francisco Kessler, Vulpix, macaw
Man Muller, Ekans, leopard
Marcell Olson, Goldeen, squirrel
Trey Ebert, Vaporeon, mammoth
Mrs. Norman Ward, Dratini, gorilla
