Levi Carroll, Magikarp, prairie dog
Lula Hickle, Grimer, snake
Francie Schmitt, Magikarp, hamster
Ms. Graig Luettgen, Staryu, gerbil
Joan Fay, Machamp, cockroach
Rusty Ondricka, Jolteon, fish
Mr. Adan Mitchell, Lapras, pug
Marcelo Turner V, Seadra, crab
Ranae Carroll, Venonat, hornet
Archie Trantow, Farfetch'd, chinchilla
Chelsea Ferry III, Golbat, porcupine
Tashina Beer, Mankey, caribou
Diego Koch Sr., Exeggutor, worm
Bobbie Witting, Chansey, hound
Alana Volkman, Persian, cicada
Hildegarde Aufderhar, Zubat, butterfly
Ms. Brady Gutkowski, Kangaskhan, mosquito
Dr. Gaylord Green, Magmar, fox
Reena Lemke, Paras, alligator
Sharolyn Lemke, Diglett, mouse
Randee Koss, Lapras, gorilla
Virgil Rolfson, Magikarp, elephant
Genevie Kunde, Onix, goat
Pamela Hilll, Nidoking, termite
Ellyn Mann, Starmie, donkey
Mozelle Blick, Electabuzz, minnow
Cierra Waters, Raticate, leopard
Lucas Quitzon, Starmie, mosquito
Irena Barrows, Nidoking, cicada
Margaretta Ernser, Starmie, sheep
Noel Stehr, Eevee, cricket
Jamar Jaskolski, Primeape, hedgehog
Norris Hoppe, Dragonite, cockroach
Jeri Wunsch DDS, Omanyte, rabbit
Mrs. Ricardo Friesen, Charmander, kangaroo
Haydee Nader, Rhyhorn, donkey
Mr. Philip Grimes, Vaporeon, gorilla
Athena Torphy, Parasect, wolf
Mirian Auer MD, Aerodactyl, sheep
Norma Kuhn, Koffing, fly
Jamie Okuneva, Kingler, rabbit
Miss Chiquita Douglas, Tauros, fish
Dr. Merri Kiehn, Caterpie, clam
Clemente Conroy DVM, Bellsprout, cheetah
Tracee Kiehn DDS, Eevee, cattle
Lenny Jacobson DVM, Snorlax, ferret
Shawnee Mayer, Ekans, pig
Mariella McLaughlin, Vaporeon, pug
Suzette Douglas, Grimer, mink
Byron Hermiston PhD, Oddish, trout
