Leoma Orn, Hypno, bee
Manda Nicolas IV, Dewgong, dinosaur
Miss Charita Russel, Krabby, armadillo
Marion Weber, Parasect, otter
Felix Miller, Abra, serval
Tobias Halvorson Jr., Vileplume, cockroach
Roger Turner, Zapdos, scorpion
Danilo Kris DDS, Hypno, impala
Shelby Lakin, Machamp, macaw
Joeann Ullrich Jr., Hitmonchan, guinea pig
Wilson Schimmel, Pinsir, termite
Harold Bayer I, Raticate, alligator
Soon Kohler, Doduo, cat
Joie Grimes IV, Oddish, yellowjacket
Alphonse Ritchie, Exeggcute, dolphin
Nidia Block MD, Eevee, jellyfish
Ms. Ardith Goldner, Venomoth, yellowjacket
Emmanuel Schimmel, Poliwag, cheetah
Ward Pacocha, Alakazam, llama
Odilia Wolff, Hypno, hedgehog
Otis Marquardt, Omastar, wombat
Ms. Eloy VonRueden, Magneton, ant
Phil Ledner, Zubat, gorilla
Shirley Gerhold, Geodude, raccoon
Dillon Schroeder, Farfetch'd, eel
Mr. Thomasina Corwin, Nidoran, wallaby
Rhett Haley, Metapod, leopard
Miss Wilton Kihn, Spearow, rabbit
Anne Towne, Dragonair, oyster
Cary Conroy, Rhydon, deer
Everette Ankunding, Pidgey, cricket
Franklin Weissnat, Golem, guinea pig
Rolland Corkery, Dugtrio, hare
Chase Stehr IV, Dratini, goat
Rosemarie Stamm, Magneton, zebra
Francine Fritsch, Beedrill, gnu
Dr. Booker Ankunding, Rhydon, monkey
Theron Crist, Geodude, termite
Rochell Rippin, Electrode, crow
Rickey Murray II, Clefairy, locust
Maranda Schoen, Venusaur, sea lion
Frank Beer, Magnemite, oyster
Lou Stark, Kakuna, baboon
Juan Deckow Sr., Articuno, badger
Miranda Fahey, Arbok, locust
Mrs. Dann Rowe, Dragonite, hornet
Vincenza Aufderhar, Gastly, mouse
Dr. Ali Tremblay, Vileplume, oyster
Mrs. Thanh Schinner, Vulpix, rhinoceros
Ruby Grimes III, Machop, eagle
