Harold Ward, Tauros, mule
Elaine Gorczany DDS, Machamp, prairie dog
Mrs. Bernardo Schumm, Tangela, termite
Jarod Sporer, Eevee, panda
Terry Ferry V, Victreebel, whale
Kurtis Stroman, Pidgeotto, tortoise
Davis Sipes, Nidoking, crow
Dr. Man Runte, Venonat, panda
Roman Hills, Horsea, chimpanzee
Paul Lindgren, Cubone, hedgehog
Gaylord Feeney II, Aerodactyl, zebra
Quinn Carroll, Mew, wombat
Ronna Abernathy, Slowpoke, cricket
Dominique Schinner, Primeape, horse
Marquita Crist, Electabuzz, mink
Phil Schmitt, Onix, ant
Ardith Schmitt, Aerodactyl, mink
Truman Roberts, Ekans, duck
Dann Conroy, Gloom, lizard
Donte Gislason, Weedle, pug
Mitchell Towne, Ninetales, gnat
Louis Haley V, Gengar, raven
Jaymie Wolff, Meowth, guinea pig
Nolan Bergstrom DVM, Slowpoke, fish
Martin Morissette MD, Meowth, cod
Mrs. Colton Abernathy, Bulbasaur, fly
Mr. Leola Kuvalis, Mew, leopard
Donnell Cole, Squirtle, turtle 
Mrs. Adam Blick, Scyther, donkey
Carey Rodriguez, Raichu, crocodile
Maragaret Witting, Nidoran, horse
Chuck Harber II, Metapod, crab
Kirk Glover DVM, Magikarp, otter
Mui Langworth, Vaporeon, frog
Stan Reichert, Pidgey, crow
Maria Rau, Geodude, louse
Thuy Hilpert, Farfetch'd, seal
Amos Klocko, Dratini, jackal
Wendell Gottlieb, Kadabra, bear
Livia Bins, Slowbro, trout
Jewel Zboncak III, Scyther, mink
Kristina Hermann, Ninetales, chinchilla
Gudrun Kling, Venomoth, snail
Shawnna Howell, Machamp, hornet
Jarvis Gerlach, Pikachu, alligator
Nancee Stokes, Victreebel, jellyfish
Alessandra Conn, Magneton, shark
Dr. Stephan Zulauf, Ivysaur, termite
Kimberley Bergstrom, Staryu, grasshopper
Lenny Kihn, Magneton, tiger
