Erik Greenfelder, Magneton, goat
Tim Hegmann, Exeggutor, wasp
Janyce Franecki, Charmeleon, pug
Melisa Hirthe, Abra, reindeer
Odis Hahn, Farfetch'd, goat
Sha Kris DVM, Lickitung, alligator
Miss Lessie Doyle, Mew, mammoth
Elvin Stark, Gyarados, grasshopper
Giovanni O'Hara III, Kingler, platypus
Otilia Rohan Sr., Porygon, fox
Cecily Weimann, Golbat, crow
Denis Schmeler, Lapras, zebra
Catrina Greenfelder, Pidgeot, hornet
Adalberto Kohler, Charizard, fish
Nannie Walker, Grimer, bear
Dwana Rath, Venusaur, wolf
Heide Balistreri, Slowpoke, crocodile
In Brekke, Magnemite, sardine
Valentine Dickens, Tangela, hippopotamus
Alfonzo Lang, Voltorb, ferret
Mariko Schumm, Psyduck, raccoon
Emilie Waelchi, Wigglytuff, cricket
Fabian Renner, Hypno, yak
Ernest Gibson, Voltorb, hamster
Ms. Everett Windler, Slowbro, eel
Porter Bergnaum, Weepinbell, cattle
Jenice Schinner, Jigglypuff, serval
Jordan Welch, Butterfree, oyster
Deneen Shanahan, Caterpie, monkey
Jarvis Cummings, Bulbasaur, sardine
Craig Dickens, Diglett, lizard
Melita Huels, Sandslash, turtle 
Donnie McKenzie, Geodude, cicada
Miss Genevive Kunde, Wartortle, chimpanzee
Joaquina Upton, Machoke, leopard
Sol Stamm, Bellsprout, minnow
Abel Parisian, Zubat, woodchuck
Marvis Reichert, Chansey, sardine
Alva Padberg, Gastly, bear
Pete Ziemann, Scyther, monkey
Phillis Lakin, Gengar, beaver
Frieda Hamill, Magnemite, wombat
Iraida Blanda III, Bellsprout, macaw
Farrah Stehr, Blastoise, rabbit
Barb Vandervort, Parasect, raccoon
Errol Will, Bulbasaur, termite
Thao Schuster, Horsea, llama
Leonardo Schinner, Wartortle, lizard
Murray Fadel, Vaporeon, dolphin
Marion Mayert, Slowbro, wildebeest
