Porsche Renner, Weezing, toad
Cheri Renner, Persian, toad
Adolph Smitham I, Sandshrew, salmon
Ozell Pagac, Tentacool, hippopotamus
Lala Zemlak, Poliwrath, manatee
Hershel Ritchie, Geodude, worm
Woodrow DuBuque, Rhydon, mink
Hugh Lynch, Krabby, louse
Quincy Hessel, Omanyte, monkey
Fritz Tromp, Zapdos, llama
Kathlyn Heathcote, Kakuna, louse
Mr. Sylvester Bogan, Starmie, seal
Dr. Kenia Mann, Rapidash, hedgehog
Katherin Keeling MD, Psyduck, sardine
Leslie Murazik, Rhyhorn, sheep
Miss Wynell Hane, Horsea, macaw
Barney Leuschke MD, Moltres, wallaby
Blondell Sporer II, Slowpoke, hamster
Twanna Muller I, Wigglytuff, eagle
Bernard Durgan, Poliwrath, scorpion
Jere Wolf, Rapidash, porpoise
Lindsay Nicolas, Alakazam, weasel
Sadye Wehner, Goldeen, bat
Mr. Shad Hamill, Machamp, mosquito
Renee Satterfield III, Golbat, chinchilla
Tracy O'Keefe, Wartortle, fox
Lloyd Murray, Gastly, alpaca
Homer Ortiz, Seaking, guinea pig
Ms. Delilah Stark, Mewtwo, rabbit
Branden Hickle Sr., Caterpie, skunk
Teresa Pfeffer II, Wartortle, bee
Carie Lowe, Magneton, zebra
Tonette Haag, Omastar, snake
Jillian Zieme, Electabuzz, kangaroo
Eryn Wisozk, Goldeen, goose
Forest Bins, Gloom, cicada
Titus Ryan, Machop, sardine
Rivka Baumbach, Dugtrio, cat
Sofia Murphy, Kabuto, gerbil
Scott Bahringer, Voltorb, serval
Ms. Clayton Quitzon, Seadra, marten
Elton Yundt, Dragonair, beaver
Corazon Lockman, Diglett, alpaca
Miss Leann Labadie, Growlithe, cheetah
Alberto Kemmer, Wigglytuff, weasel
Asley Waelchi II, Hitmonlee, crocodile
Kraig Von, Pidgey, tiger
Yelena Stanton, Articuno, crab
Annemarie Runolfsdottir, Bulbasaur, weasel
Lilliana Ritchie, Mr. Mime, yak
