Earleen Rolfson, Charmander, swan
Ms. Jody Bednar, Staryu, rat
Long Bahringer, Kingler, koala
Ms. Rosena Hirthe, Cloyster, cattle
Kassandra Kling DDS, Primeape, armadillo
Oma Dicki, Moltres, water buffalo
Roosevelt Beahan, Aerodactyl, sea lion
Max Klocko, Exeggcute, hyena
Marcelina Sauer, Jynx, prairie dog
Mitchel Skiles, Chansey, eel
Lorriane Stehr II, Seaking, goose
Lindsay Parisian, Electabuzz, lizard
Jerald Goldner, Pidgey, eel
Jamaal Cronin IV, Mr. Mime, panda
Candyce Cummings, Exeggutor, monkey
Carey Waelchi, Rattata, lizard
Cliff Hyatt Jr., Aerodactyl, armadillo
Erin Kohler, Gastly, eel
Mrs. Fidel Wilderman, Onix, oyster
Jerold Pfeffer, Kabutops, hound
Micha Rice, Cloyster, ferret
Karima Carroll, Tentacruel, sea lion
Marylee Mann V, Kingler, goldfish
Martin Bergstrom, Growlithe, gorilla
Emerson Abbott Jr., Tangela, mosquito
Sana Mohr, Grimer, bat
Alonso Goldner, Omanyte, locust
Magaret Lubowitz, Venomoth, minnow
Palmer Douglas, Arcanine, porpoise
Lieselotte Fisher I, Nidoking, wombat
Brent Kling, Rattata, yellowjacket
Coy Corwin, Primeape, monkey
Geraldine Grady, Bulbasaur, alpaca
Bradford Moore, Wartortle, cattle
Jack Murazik, Horsea, eel
Matthew Medhurst, Charmeleon, spider
Classie Lynch, Squirtle, hyena
Earl Schimmel, Goldeen, porcupine
Salena Wolf, Pidgeot, tiger
Carly Wiegand, Butterfree, hippopotamus
Angelique VonRueden, Mew, guinea pig
Walton Harris V, Seaking, macaw
Robert Metz, Dratini, beetle
Morton Kessler MD, Bellsprout, crow
Ronni Fay, Charizard, camel
Willis Konopelski, Zapdos, minnow
Shandi Beahan III, Rhydon, cricket
Jesus Schuster, Ponyta, mole
Brad Turcotte, Abra, macaw
Shelby Connelly, Dragonair, mole
